,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Shimizu Sara,Female,26-08-2024,Cardrona,NZL,Japan,Australian New Zealand Cup Premium,Halfpipe,1,120.00
1,Shimizu Sara,Female,17-03-2024,Sapporo,JPN,Japan,National Championships,Halfpipe,2,261.70
2,Shimizu Sara,Female,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,3,78.90
3,Shimizu Sara,Female,01-02-2024,Gangwon/Welli Hilli,KOR,Japan,Youth Olympic Winter Games,Halfpipe,2,146.70
4,Shimizu Sara,Female,19-04-2023,Kitzsteinhorn,AUT,Japan,European Cup,Halfpipe,1,120.00
5,Shimizu Sara,Female,18-04-2023,Kitzsteinhorn,AUT,Japan,European Cup,Halfpipe,1,120.00
6,Shimizu Sara,Female,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,2,90.20
7,Shimizu Sara,Female,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,2,90.00
8,Shimizu Sara,Female,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,7,36.50
9,Shimizu Sara,Female,08-10-2022,Cardrona Alpine Resort,NZL,Japan,Australian New Zealand Cup,Halfpipe,1,10.00
10,Shimizu Sara,Female,01-09-2022,Cardrona,NZL,Japan,Australian New Zealand Cup,Halfpipe,5,0.30
