,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Shinohara Ryusuke,Male,02-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,2,
1,Shinohara Ryusuke,Male,02-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,5,
2,Shinohara Ryusuke,Male,01-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,2,
3,Shinohara Ryusuke,Male,01-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,4,
4,Shinohara Ryusuke,Male,26-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,5,144.00
5,Shinohara Ryusuke,Male,25-01-2025,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,37,
6,Shinohara Ryusuke,Male,25-01-2025,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,37,19.40
7,Shinohara Ryusuke,Male,22-01-2025,Bardonecchia,ITA,Japan,Universiade,Parallel Slalom,DNS,
8,Shinohara Ryusuke,Male,21-01-2025,Bardonecchia,ITA,Japan,Universiade,Parallel Giant Slalom,DNS,
9,Shinohara Ryusuke,Male,19-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,32,
10,Shinohara Ryusuke,Male,19-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,32,26.00
11,Shinohara Ryusuke,Male,18-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,40,
12,Shinohara Ryusuke,Male,18-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,40,18.50
13,Shinohara Ryusuke,Male,14-01-2025,Bad Gastein,AUT,Japan,Qualification,Parallel Slalom,39,
14,Shinohara Ryusuke,Male,14-01-2025,Bad Gastein,AUT,Japan,World Cup,Parallel Slalom,39,18.80
15,Shinohara Ryusuke,Male,11-01-2025,Scuol,SUI,Japan,Qualification,Parallel Giant Slalom,39,
16,Shinohara Ryusuke,Male,11-01-2025,Scuol,SUI,Japan,World Cup,Parallel Giant Slalom,39,
17,Shinohara Ryusuke,Male,31-12-2024,Galaxy Ski Resort,CHN,Japan,Asian Cup,Parallel Slalom,4,100.00
18,Shinohara Ryusuke,Male,30-12-2024,Galaxy Ski Resort,CHN,Japan,Asian Cup,Parallel Giant Slalom,5,90.00
19,Shinohara Ryusuke,Male,19-03-2024,Wanglong Ski Resrort,CHN,Japan,Asian Cup,Slalom,4,100.00
20,Shinohara Ryusuke,Male,18-03-2024,Wanglong Ski Resrort,CHN,Japan,Asian Cup,Parallel Giant Slalom,4,100.00
