,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Skupien Daniel,Male,09-03-2025,Gubalowka,POL,Poland,FIS,Big Air,4,26.70
1,Skupien Daniel,Male,08-03-2025,Gubalowka,POL,Poland,FIS,Slopestyle,3,32.90
2,Skupien Daniel,Male,07-03-2025,Szczyrk,POL,Poland,European Cup,Rail Event,18,2.10
3,Skupien Daniel,Male,02-03-2025,Ergli,LAT,Poland,National Championships,Big Air,8,11.60
4,Skupien Daniel,Male,02-03-2025,Ergli,LAT,Poland,National Junior Championships,Big Air,2,39.00
5,Skupien Daniel,Male,01-03-2025,Ergli,LAT,Poland,National Championships,Slopestyle,8,11.60
6,Skupien Daniel,Male,01-03-2025,Ergli,LAT,Poland,National Junior Championships,Slopestyle,4,22.10
7,Skupien Daniel,Male,26-02-2025,Bialka Tatrzanska,POL,Poland,National Championships,Slopestyle,6,18.80
8,Skupien Daniel,Male,26-02-2025,Bialka Tatrzanska,POL,Poland,National Championships,Big Air,7,15.60
9,Skupien Daniel,Male,23-02-2025,Kotelnica,POL,Poland,European Cup,Big Air,17,2.30
10,Skupien Daniel,Male,15-02-2025,Bakuriani,GEO,Poland,European Youth Olympic Festival,Big Air,16,9.00
11,Skupien Daniel,Male,14-02-2025,Bakuriani,GEO,Poland,Qualification,Big Air,16,
12,Skupien Daniel,Male,12-02-2025,Bakuriani,GEO,Poland,European Youth Olympic Festival,Slopestyle,22,7.20
13,Skupien Daniel,Male,26-01-2025,Gubalowka,POL,Poland,FIS,Big Air,5,21.60
14,Skupien Daniel,Male,25-01-2025,Gubalowka,POL,Poland,FIS,Slopestyle,5,22.10
15,Skupien Daniel,Male,07-01-2025,Bjelasnica/ Sarajevo,BIH,Poland,FIS,Slopestyle,2,15.30
16,Skupien Daniel,Male,06-01-2025,Bjelasnica/ Sarajevo,BIH,Poland,FIS,Big Air,1,50.00
17,Skupien Daniel,Male,01-03-2024,Skalite Szczyrk,POL,Poland,FIS,Rail Event,7,
18,Skupien Daniel,Male,17-02-2024,Kotelnica Balczanskaia,POL,Poland,National Championships,Big Air,8,9.60
19,Skupien Daniel,Male,10-02-2024,Donovaly,SVK,Poland,FIS,Slopestyle,5,7.50
20,Skupien Daniel,Male,02-02-2024,Gubalowka,POL,Poland,FIS,Big Air,13,1.60
21,Skupien Daniel,Male,01-02-2024,Gubalowka,POL,Poland,FIS,Slopestyle,9,9.10
22,Skupien Daniel,Male,11-03-2023,Zakopane Gubalowka,POL,Poland,National Championships,Big Air,7,10.00
23,Skupien Daniel,Male,10-03-2023,Zakopane Gubalowka,POL,Poland,National Championships,Slopestyle,9,3.00
24,Skupien Daniel,Male,19-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Big Air,8,9.60
25,Skupien Daniel,Male,18-02-2023,Zakopane Gubalowka,POL,Poland,FIS,Slopestyle,9,5.20
26,Skupien Daniel,Male,11-02-2023,Kotelnica Bialczanska,POL,Poland,FIS,Big Air,9,5.20
