,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Slavinski Alexandre,Male,12-03-2025,Horseshoe Resort,CAN,Canada,National Junior Championships,Big Air,2,
1,Slavinski Alexandre,Male,10-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Big Air,9,36.70
2,Slavinski Alexandre,Male,09-03-2025,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Slopestyle,22,24.50
3,Slavinski Alexandre,Male,05-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,38,1.40
4,Slavinski Alexandre,Male,04-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,15,54.40
5,Slavinski Alexandre,Male,26-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Big Air,35,5.90
6,Slavinski Alexandre,Male,25-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Slopestyle,44,14.10
7,Slavinski Alexandre,Male,18-01-2025,Val Saint Come,CAN,Canada,FIS,Slopestyle,1,50.00
8,Slavinski Alexandre,Male,13-01-2025,"Copper Mountain, CO",USA,Canada,Nor-Am Cup,Slopestyle,29,10.80
9,Slavinski Alexandre,Male,03-04-2024,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,6,48.90
10,Slavinski Alexandre,Male,03-04-2024,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,16,17.10
11,Slavinski Alexandre,Male,05-03-2024,Blue Mtn,CAN,Canada,National Junior Championships,Slopestyle,8,19.50
12,Slavinski Alexandre,Male,10-02-2024,Val Saint Come,CAN,Canada,FIS,Slopestyle,5,22.10
13,Slavinski Alexandre,Male,18-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Big Air,19,26.10
14,Slavinski Alexandre,Male,17-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,37,14.80
15,Slavinski Alexandre,Male,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,3,34.40
16,Slavinski Alexandre,Male,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,24,2.70
17,Slavinski Alexandre,Male,21-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Slopestyle,8,33.90
