,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sluev Igor,Male,26-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Slalom,26,14.50
1,Sluev Igor,Male,25-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Giant Slalom,1,290.00
2,Sluev Igor,Male,14-01-2022,Simonhöhe,AUT,Russia,World Cup,Parallel Giant Slalom,17,140.00
3,Sluev Igor,Male,14-01-2022,Simonhöhe,AUT,Russia,Qualification,Parallel Giant Slalom,17,
4,Sluev Igor,Male,12-01-2022,Bad Gastein,AUT,Russia,World Cup,Parallel Slalom Team,12,
5,Sluev Igor,Male,11-01-2022,Bad Gastein,AUT,Russia,Qualification,Parallel Slalom,31,
6,Sluev Igor,Male,11-01-2022,Bad Gastein,AUT,Russia,World Cup,Parallel Slalom,31,28.00
7,Sluev Igor,Male,08-01-2022,Scuol,SUI,Russia,Qualification,Parallel Giant Slalom,33,
8,Sluev Igor,Male,08-01-2022,Scuol,SUI,Russia,World Cup,Parallel Giant Slalom,33,24.00
9,Sluev Igor,Male,18-12-2021,Cortina d Ampezzo,ITA,Russia,Qualification,Parallel Giant Slalom,31,
10,Sluev Igor,Male,18-12-2021,Cortina d Ampezzo,ITA,Russia,World Cup,Parallel Giant Slalom,31,28.00
11,Sluev Igor,Male,16-12-2021,Carezza,ITA,Russia,Qualification,Parallel Giant Slalom,32,
12,Sluev Igor,Male,16-12-2021,Carezza,ITA,Russia,World Cup,Parallel Giant Slalom,32,26.00
13,Sluev Igor,Male,12-12-2021,Bannoye,RUS,Russia,Qualification,Parallel Slalom,DNF,
14,Sluev Igor,Male,12-12-2021,Bannoye,RUS,Russia,World Cup,Parallel Slalom,DNF,
15,Sluev Igor,Male,11-12-2021,Bannoye,RUS,Russia,Qualification,Parallel Giant Slalom,4,
16,Sluev Igor,Male,11-12-2021,Bannoye,RUS,Russia,World Cup,Parallel Giant Slalom,9,290.00
17,Sluev Igor,Male,26-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Slalom,7,79.20
18,Sluev Igor,Male,25-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Giant Slalom,5,99.00
19,Sluev Igor,Male,20-03-2021,Berchtesgaden,GER,Russia,Qualification,Parallel Slalom,46,
20,Sluev Igor,Male,20-03-2021,Berchtesgaden,GER,Russia,World Cup,Parallel Slalom,46,16.70
21,Sluev Igor,Male,06-03-2021,Rogla,SLO,Russia,Qualification,Parallel Giant Slalom,46,
22,Sluev Igor,Male,06-03-2021,Rogla,SLO,Russia,World Cup,Parallel Giant Slalom,46,16.70
23,Sluev Igor,Male,02-03-2021,Rogla,SLO,Russia,World Championships,Parallel Slalom,36,19.70
24,Sluev Igor,Male,02-03-2021,Rogla,SLO,Russia,Qualification,Parallel Slalom,36,
