,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sobolev Andrei,Male,08-02-2022,Beijing,CHN,Russia,Qualification,Parallel Giant Slalom,19,
1,Sobolev Andrei,Male,08-02-2022,Beijing,CHN,Russia,Olympic Winter Games,Parallel Giant Slalom,19,120.00
2,Sobolev Andrei,Male,26-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Slalom,25,17.40
3,Sobolev Andrei,Male,25-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Giant Slalom,40,5.36
4,Sobolev Andrei,Male,15-01-2022,Simonhöhe,AUT,Russia,World Cup,Parallel Giant Slalom Team,4,
5,Sobolev Andrei,Male,14-01-2022,Simonhöhe,AUT,Russia,World Cup,Parallel Giant Slalom,10,260.00
6,Sobolev Andrei,Male,14-01-2022,Simonhöhe,AUT,Russia,Qualification,Parallel Giant Slalom,9,
7,Sobolev Andrei,Male,11-01-2022,Bad Gastein,AUT,Russia,Qualification,Parallel Slalom,DNF,
8,Sobolev Andrei,Male,11-01-2022,Bad Gastein,AUT,Russia,World Cup,Parallel Slalom,DNF,
9,Sobolev Andrei,Male,08-01-2022,Scuol,SUI,Russia,Qualification,Parallel Giant Slalom,25,
10,Sobolev Andrei,Male,08-01-2022,Scuol,SUI,Russia,World Cup,Parallel Giant Slalom,25,60.00
11,Sobolev Andrei,Male,18-12-2021,Cortina d Ampezzo,ITA,Russia,Qualification,Parallel Giant Slalom,33,
12,Sobolev Andrei,Male,18-12-2021,Cortina d Ampezzo,ITA,Russia,World Cup,Parallel Giant Slalom,33,24.00
13,Sobolev Andrei,Male,16-12-2021,Carezza,ITA,Russia,Qualification,Parallel Giant Slalom,27,
14,Sobolev Andrei,Male,16-12-2021,Carezza,ITA,Russia,World Cup,Parallel Giant Slalom,27,45.00
15,Sobolev Andrei,Male,12-12-2021,Bannoye,RUS,Russia,Qualification,Parallel Slalom,47,
16,Sobolev Andrei,Male,12-12-2021,Bannoye,RUS,Russia,World Cup,Parallel Slalom,47,
17,Sobolev Andrei,Male,11-12-2021,Bannoye,RUS,Russia,Qualification,Parallel Giant Slalom,5,
18,Sobolev Andrei,Male,11-12-2021,Bannoye,RUS,Russia,World Cup,Parallel Giant Slalom,3,600.00
19,Sobolev Andrei,Male,26-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Slalom,31,6.16
20,Sobolev Andrei,Male,25-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Giant Slalom,3,132.00
21,Sobolev Andrei,Male,20-03-2021,Berchtesgaden,GER,Russia,Qualification,Parallel Slalom,DNF,
22,Sobolev Andrei,Male,20-03-2021,Berchtesgaden,GER,Russia,World Cup,Parallel Slalom,DNF,
23,Sobolev Andrei,Male,06-03-2021,Rogla,SLO,Russia,Qualification,Parallel Giant Slalom,1,
24,Sobolev Andrei,Male,06-03-2021,Rogla,SLO,Russia,World Cup,Parallel Giant Slalom,2,800.00
25,Sobolev Andrei,Male,02-03-2021,Rogla,SLO,Russia,World Championships,Parallel Slalom,4,500.00
26,Sobolev Andrei,Male,02-03-2021,Rogla,SLO,Russia,Qualification,Parallel Slalom,1,
27,Sobolev Andrei,Male,01-03-2021,Rogla,SLO,Russia,World Championships,Parallel Giant Slalom,3,600.00
28,Sobolev Andrei,Male,01-03-2021,Rogla,SLO,Russia,Qualification,Parallel Giant Slalom,3,
29,Sobolev Andrei,Male,07-02-2021,Bannoye,RUS,Russia,Qualification,Parallel Slalom,2,
30,Sobolev Andrei,Male,07-02-2021,Bannoye,RUS,Russia,World Cup,Parallel Slalom,3,600.00
31,Sobolev Andrei,Male,06-02-2021,Baonoye,RUS,Russia,Qualification,Parallel Giant Slalom,3,
