,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Spalding Cameron,Male,02-02-2025,Aspen,USA,Canada,World Cup,Slopestyle,16,199.60
1,Spalding Cameron,Male,31-01-2025,Aspen,USA,Canada,Qualification,Slopestyle,1,
2,Spalding Cameron,Male,18-01-2025,Laax,SUI,Canada,World Cup,Slopestyle,1,1000.00
3,Spalding Cameron,Male,16-01-2025,Laax,SUI,Canada,Qualification,Slopestyle,2,
4,Spalding Cameron,Male,01-12-2024,Beijing,CHN,Canada,World Cup,Big Air,14,216.70
5,Spalding Cameron,Male,30-11-2024,Beijing,CHN,Canada,Qualification,Big Air,6,
6,Spalding Cameron,Male,19-10-2024,Chur,SUI,Canada,World Cup,Big Air,14,207.00
7,Spalding Cameron,Male,02-09-2024,Cardrona,NZL,Canada,World Cup,Slopestyle,1,1000.00
8,Spalding Cameron,Male,31-08-2024,Cardrona,NZL,Canada,Qualification,Slopestyle,1,
9,Spalding Cameron,Male,23-03-2024,Silvaplana,SUI,Canada,World Cup,Slopestyle,13,235.70
10,Spalding Cameron,Male,21-03-2024,Silvaplana,SUI,Canada,Qualification,Slopestyle,6,
11,Spalding Cameron,Male,15-03-2024,Tignes,FRA,Canada,Qualification,Slopestyle,3,
12,Spalding Cameron,Male,15-03-2024,Tignes,FRA,Canada,World Cup,Slopestyle,8,347.40
13,Spalding Cameron,Male,20-01-2024,Laax,SUI,Canada,World Cup,Slopestyle,3,696.30
14,Spalding Cameron,Male,16-01-2024,Laax,SUI,Canada,Qualification,Slopestyle,4,
15,Spalding Cameron,Male,09-12-2023,Edmonton,CAN,Canada,World Cup,Big Air,11,263.60
16,Spalding Cameron,Male,08-12-2023,Edmonton,CAN,Canada,Qualification,Big Air,5,
17,Spalding Cameron,Male,02-12-2023,Beijing,CHN,Canada,World Cup,Big Air,17,168.60
18,Spalding Cameron,Male,01-12-2023,Beijing,CHN,Canada,Qualification,Big Air,8,
19,Spalding Cameron,Male,21-10-2023,Chur,SUI,Canada,Qualification,Big Air,19,
20,Spalding Cameron,Male,21-10-2023,Chur,SUI,Canada,World Cup,Big Air,39,74.30
21,Spalding Cameron,Male,04-09-2023,Cardrona,NZL,Canada,FIS Junior World Championships,Big Air,8,125.50
22,Spalding Cameron,Male,02-09-2023,Cardrona,NZL,Canada,Qualification,Big Air,2,
23,Spalding Cameron,Male,30-08-2023,Cardrona,NZL,Canada,FIS Junior World Championships,Slopestyle,2,298.90
24,Spalding Cameron,Male,28-08-2023,Cardrona,NZL,Canada,Qualification,Slopestyle,1,
25,Spalding Cameron,Male,26-03-2023,Silvaplana,SUI,Canada,World Cup,Slopestyle,4,471.50
26,Spalding Cameron,Male,25-03-2023,Silvaplana,SUI,Canada,Qualification,Slopestyle,7,
27,Spalding Cameron,Male,20-03-2023,Mottolino Livigno,ITA,Canada,European Cup,Slopestyle,15,53.80
28,Spalding Cameron,Male,17-03-2023,Laax,SUI,Canada,European Cup Premium,Slopestyle,3,280.10
29,Spalding Cameron,Male,04-03-2023,Bakuriani,GEO,Canada,World Championships,Big Air,16,142.80
30,Spalding Cameron,Male,02-03-2023,Bakuriani,GEO,Canada,Qualification,Big Air,8,
31,Spalding Cameron,Male,27-02-2023,Bakuriani,GEO,Canada,World Championships,Slopestyle,19,134.80
32,Spalding Cameron,Male,24-02-2023,Bakuriani,GEO,Canada,Qualification,Slopestyle,11,
33,Spalding Cameron,Male,12-02-2023,Calgary,CAN,Canada,World Cup,Slopestyle,3,553.70
34,Spalding Cameron,Male,10-02-2023,Calgary,CAN,Canada,Qualification,Slopestyle,1,
35,Spalding Cameron,Male,04-02-2023,Mammoth Mountain,USA,Canada,World Cup,Slopestyle,16,151.70
36,Spalding Cameron,Male,01-02-2023,Mammoth Mountain,USA,Canada,Qualification,Slopestyle,8,
37,Spalding Cameron,Male,22-01-2023,Laax,SUI,Canada,World Cup,Slopestyle,44,58.20
38,Spalding Cameron,Male,18-01-2023,Laax,SUI,Canada,Qualification,Slopestyle,21,
39,Spalding Cameron,Male,10-12-2022,Edmonton,CAN,Canada,World Cup,Big Air,7,311.30
40,Spalding Cameron,Male,09-12-2022,Edmonton,CAN,Canada,Qualification,Big Air,9,
41,Spalding Cameron,Male,22-10-2022,Chur,SUI,Canada,Qualification,Big Air,17,
42,Spalding Cameron,Male,22-10-2022,Chur,SUI,Canada,World Cup,Big Air,31,72.80
43,Spalding Cameron,Male,27-03-2022,Silvaplana,SUI,Canada,World Cup,Slopestyle,14,170.30
44,Spalding Cameron,Male,25-03-2022,Silvaplana,SUI,Canada,Qualification,Slopestyle,6,
45,Spalding Cameron,Male,19-03-2022,Spindleruv Mlyn,CZE,Canada,World Cup,Slopestyle,7,228.00
46,Spalding Cameron,Male,18-03-2022,Spindleruv Mlyn,CZE,Canada,Qualification,Slopestyle,4,
47,Spalding Cameron,Male,13-03-2022,Leysin,SUI,Canada,FIS Junior World Championships,Slopestyle,1,260.00
48,Spalding Cameron,Male,10-03-2022,Leysin,SUI,Canada,FIS Junior World Championships,Big Air,5,122.20
49,Spalding Cameron,Male,13-02-2022,Blue Mountain,CAN,Canada,FIS,Slopestyle,1,80.00
50,Spalding Cameron,Male,06-02-2022,Calgary,CAN,Canada,National Junior Championships,Slopestyle,3,89.90
