,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Stam Daan,Male,07-04-2024,Gudauri,GEO,Netherlands,FIS Junior World Championships,Snowboard Cross Team,13,
1,Stam Daan,Male,06-04-2024,Gudauri,GEO,Netherlands,FIS Junior World Championships,Snowboard Cross,5,162.00
2,Stam Daan,Male,05-04-2024,Gudauri,GEO,Netherlands,Qualification,Snowboard Cross,15,
3,Stam Daan,Male,24-03-2024,Lenk,SUI,Netherlands,National Championships,Snowboard Cross,4,60.00
4,Stam Daan,Male,22-03-2024,Lenk,SUI,Netherlands,European Cup,Snowboard Cross,37,4.66
5,Stam Daan,Male,21-03-2024,Lenk,SUI,Netherlands,European Cup,Snowboard Cross,12,52.80
6,Stam Daan,Male,14-03-2024,Isola 2000,FRA,Netherlands,European Cup,Snowboard Cross,4,100.00
7,Stam Daan,Male,13-03-2024,Isola 2000,FRA,Netherlands,European Cup,Snowboard Cross,3,120.00
8,Stam Daan,Male,11-03-2024,Isola 2000,FRA,Netherlands,Junior,Snowboard Cross,2,120.00
9,Stam Daan,Male,25-02-2024,Grasgehren,GER,Netherlands,European Cup,Snowboard Cross,28,11.60
10,Stam Daan,Male,24-02-2024,Grasgehren,GER,Netherlands,European Cup,Snowboard Cross,37,6.21
11,Stam Daan,Male,17-02-2024,Colere,ITA,Netherlands,European Cup,Snowboard Cross,53,3.50
12,Stam Daan,Male,16-02-2024,Colere,ITA,Netherlands,European Cup,Snowboard Cross,40,4.44
13,Stam Daan,Male,06-02-2024,Reiteralm,AUT,Netherlands,European Cup,Snowboard Cross,18,26.00
14,Stam Daan,Male,05-02-2024,Reiteralm,AUT,Netherlands,European Cup,Snowboard Cross,39,3.76
15,Stam Daan,Male,01-02-2024,Dolni Morava,CZE,Netherlands,European Cup,Snowboard Cross,35,4.40
16,Stam Daan,Male,31-01-2024,Dolni Morava,CZE,Netherlands,European Cup,Snowboard Cross,23,17.60
17,Stam Daan,Male,28-01-2024,Puy St. Vincent,FRA,Netherlands,European Cup,Snowboard Cross,35,4.00
18,Stam Daan,Male,27-01-2024,Puy St. Vincent,FRA,Netherlands,European Cup,Snowboard Cross,30,6.40
19,Stam Daan,Male,20-01-2024,Montafon,AUT,Netherlands,National Championships,Snowboard Cross,40,5.36
20,Stam Daan,Male,09-12-2023,Pitztal,AUT,Netherlands,FIS,Snowboard Cross,8,44.80
