,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Stante Tit,Male,01-02-2025,Aspen,USA,Slovenia,World Cup,Halfpipe,24,
1,Stante Tit,Male,30-01-2025,Aspen,USA,Slovenia,Qualification,Halfpipe,12,
2,Stante Tit,Male,18-01-2025,Laax,SUI,Slovenia,World Cup,Halfpipe,37,45.80
3,Stante Tit,Male,17-01-2025,Laax,SUI,Slovenia,Qualification,Halfpipe,20,
4,Stante Tit,Male,20-12-2024,Copper,USA,Slovenia,World Cup,Halfpipe,29,80.20
5,Stante Tit,Male,18-12-2024,Copper,USA,Slovenia,Qualification,Halfpipe,15,
6,Stante Tit,Male,08-12-2024,Secret Garden,CHN,Slovenia,World Cup,Halfpipe,26,67.80
7,Stante Tit,Male,06-12-2024,Secret Garden,CHN,Slovenia,Qualification,Halfpipe,12,
8,Stante Tit,Male,10-02-2024,Calgary,CAN,Slovenia,World Cup,Halfpipe,20,86.70
9,Stante Tit,Male,09-02-2024,Calgary,CAN,Slovenia,Qualification,Halfpipe,20,
10,Stante Tit,Male,03-02-2024,Mammoth Mountain,USA,Slovenia,World Cup,Halfpipe,12,212.10
11,Stante Tit,Male,30-01-2024,Mammoth Mountain,USA,Slovenia,Qualification,Halfpipe,8,
12,Stante Tit,Male,20-01-2024,Laax,SUI,Slovenia,World Cup,Halfpipe,31,83.90
13,Stante Tit,Male,16-12-2023,Copper Mountain,USA,Slovenia,World Cup,Halfpipe,27,75.60
14,Stante Tit,Male,14-12-2023,Copper Mountain,USA,Slovenia,Qualification,Halfpipe,13,
15,Stante Tit,Male,08-12-2023,Secret Garden,CHN,Slovenia,World Cup,Halfpipe,20,73.30
16,Stante Tit,Male,06-12-2023,Secret Garden,CHN,Slovenia,Qualification,Halfpipe,20,
17,Stante Tit,Male,03-03-2023,Bakuriani,GEO,Slovenia,World Championships,Halfpipe,17,70.70
18,Stante Tit,Male,01-03-2023,Bakuriani,GEO,Slovenia,Qualification,Halfpipe,17,
19,Stante Tit,Male,21-01-2023,Laax,SUI,Slovenia,World Cup,Halfpipe,DNS,
20,Stante Tit,Male,19-01-2023,Laax,SUI,Slovenia,Qualification,Halfpipe,DNS,
21,Stante Tit,Male,16-12-2022,Copper Mountain,USA,Slovenia,World Cup,Halfpipe,26,99.20
22,Stante Tit,Male,14-12-2022,Copper Mountain,USA,Slovenia,Qualification,Halfpipe,14,
23,Stante Tit,Male,11-02-2022,Beijing,CHN,Slovenia,Olympic Winter Games,Halfpipe,22,34.00
24,Stante Tit,Male,09-02-2022,Beijing,CHN,Slovenia,Qualification,Halfpipe,22,
25,Stante Tit,Male,15-01-2022,Laax,SUI,Slovenia,World Cup,Halfpipe,33,60.00
26,Stante Tit,Male,13-01-2022,Laax,SUI,Slovenia,Qualification,Halfpipe,17,
27,Stante Tit,Male,08-01-2022,Mammoth Mountain,USA,Slovenia,World Cup,Halfpipe,DNS,
28,Stante Tit,Male,11-12-2021,Copper Mountain,USA,Slovenia,World Cup,Halfpipe,22,132.00
29,Stante Tit,Male,09-12-2021,Copper Mountain,USA,Slovenia,Qualification,Halfpipe,10,
30,Stante Tit,Male,21-03-2021,Aspen,USA,Slovenia,World Cup,Halfpipe,18,102.33
31,Stante Tit,Male,18-03-2021,Aspen,USA,Slovenia,Qualification,Halfpipe,18,
32,Stante Tit,Male,13-03-2021,Aspen,USA,Slovenia,World Championships,Halfpipe,27,0.38
33,Stante Tit,Male,11-03-2021,Aspen,USA,Slovenia,Qualification,Halfpipe,27,
34,Stante Tit,Male,23-01-2021,Laax,SUI,Slovenia,World Cup,Halfpipe,21,130.16
35,Stante Tit,Male,21-01-2021,Laax,SUI,Slovenia,Qualification,Halfpipe,12,
36,Stante Tit,Male,15-02-2020,Calgary,CAN,Slovenia,World Cup,Halfpipe,18,130.00
37,Stante Tit,Male,13-02-2020,Calgary,CAN,Slovenia,Qualification,Halfpipe,18,
38,Stante Tit,Male,22-12-2019,Secret Garden,CHN,Slovenia,World Cup,Halfpipe,13,200.00
39,Stante Tit,Male,20-12-2019,Secret Garden,CHN,Slovenia,Qualification,Halfpipe,13,
40,Stante Tit,Male,14-12-2019,Copper Mountain Resort,USA,Slovenia,World Cup,Halfpipe,19,120.00
41,Stante Tit,Male,12-12-2019,Copper Mountain Resort,USA,Slovenia,Qualification,Halfpipe,19,
42,Stante Tit,Male,06-12-2019,Copper Mountain Resort,USA,Slovenia,FIS,Halfpipe,8,70.40
43,Stante Tit,Male,09-03-2019,Mammoth Mountain Resort,USA,Slovenia,World Cup,Halfpipe,17,140.00
44,Stante Tit,Male,07-03-2019,Mammoth Mountain Resort,USA,Slovenia,Qualification,Halfpipe,9,
45,Stante Tit,Male,15-02-2019,Calgary,CAN,Slovenia,World Cup,Halfpipe,16,150.00
46,Stante Tit,Male,13-02-2019,Calgary,CAN,Slovenia,Qualification,Halfpipe,16,
47,Stante Tit,Male,08-02-2019,Park City,USA,Slovenia,World Championships,Halfpipe,16,150.00
48,Stante Tit,Male,06-02-2019,Park City,USA,Slovenia,Qualification,Halfpipe,16,
49,Stante Tit,Male,19-01-2019,Laax,SUI,Slovenia,World Cup,Halfpipe,27,45.00
50,Stante Tit,Male,16-01-2019,Laax,SUI,Slovenia,Qualification,Halfpipe,15,
51,Stante Tit,Male,21-12-2018,Secret Garden,CHN,Slovenia,World Cup,Halfpipe,12,220.00
52,Stante Tit,Male,19-12-2018,Secret Garden,CHN,Slovenia,Qualification,Halfpipe,12,
53,Stante Tit,Male,12-12-2018,"Copper Mountain, CO",USA,Slovenia,Nor-Am Cup,Halfpipe,14,64.80
54,Stante Tit,Male,11-12-2018,"Copper Mountain, CO",USA,Slovenia,Nor-Am Cup,Halfpipe,14,64.80
55,Stante Tit,Male,08-12-2018,Copper Mountain Resort,USA,Slovenia,World Cup,Halfpipe,25,60.00
56,Stante Tit,Male,06-12-2018,Copper Mountain Resort,USA,Slovenia,Qualification,Halfpipe,12,
57,Stante Tit,Male,08-04-2018,Kanin,SLO,Slovenia,FIS,Slopestyle,8,16.00
58,Stante Tit,Male,15-03-2018,Laax,SUI,Slovenia,European Cup,Halfpipe,5,90.00
