,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Stoklosa Natalia,Female,26-01-2025,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,46,6.01
1,Stoklosa Natalia,Female,25-01-2025,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,29,8.64
2,Stoklosa Natalia,Female,22-01-2025,Bardonecchia,ITA,Poland,Universiade,Parallel Slalom,11,52.80
3,Stoklosa Natalia,Female,21-01-2025,Bardonecchia,ITA,Poland,Universiade,Parallel Giant Slalom,14,39.60
4,Stoklosa Natalia,Female,22-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,13,36.00
5,Stoklosa Natalia,Female,21-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,19,19.20
6,Stoklosa Natalia,Female,20-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,26,12.00
7,Stoklosa Natalia,Female,19-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,37,4.66
8,Stoklosa Natalia,Female,15-12-2024,Götschen,GER,Poland,European Cup,Parallel Slalom,29,8.64
9,Stoklosa Natalia,Female,14-12-2024,Götschen,GER,Poland,European Cup,Parallel Slalom,18,28.60
10,Stoklosa Natalia,Female,07-04-2024,Samnaun,SUI,Poland,National Championships,Giant Slalom,DSQ,
11,Stoklosa Natalia,Female,06-04-2024,Samnaun,SUI,Poland,National Championships,Parallel Slalom,13,58.00
12,Stoklosa Natalia,Female,23-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Slalom,25,
13,Stoklosa Natalia,Female,23-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Slalom,25,14.40
14,Stoklosa Natalia,Female,22-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Giant Slalom,33,
15,Stoklosa Natalia,Female,22-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Giant Slalom,33,5.76
16,Stoklosa Natalia,Female,17-03-2024,St. Moritz,SUI,Poland,European Cup,Parallel Slalom,42,
17,Stoklosa Natalia,Female,16-03-2024,St. Moritz,SUI,Poland,European Cup,Parallel Giant Slalom,DSQ,
18,Stoklosa Natalia,Female,13-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,20,26.40
19,Stoklosa Natalia,Female,12-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,31,
20,Stoklosa Natalia,Female,25-02-2024,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,28,40.00
21,Stoklosa Natalia,Female,25-02-2024,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,28,
22,Stoklosa Natalia,Female,24-02-2024,Krynica,POL,Poland,World Cup,Parallel Giant Slalom,29,36.00
23,Stoklosa Natalia,Female,24-02-2024,Krynica,POL,Poland,Qualification,Parallel Giant Slalom,29,
24,Stoklosa Natalia,Female,04-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,14,25.20
25,Stoklosa Natalia,Female,03-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,11,33.60
26,Stoklosa Natalia,Female,07-01-2024,Dolni Morava,CZE,Poland,National Championships,Parallel Giant Slalom,9,63.80
