,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sustersic Izidor,Male,30-03-2024,Krvavec,SLO,Slovenia,National Championships,Parallel Giant Slalom,4,145.00
1,Sustersic Izidor,Male,10-04-2023,Krvavec KD Zakon,SLO,Slovenia,National Championships,Parallel Giant Slalom,9,63.80
2,Sustersic Izidor,Male,16-03-2014,Ratsching/Racines,ITA,Slovenia,European Cup,Parallel Slalom,18,65.00
3,Sustersic Izidor,Male,15-03-2014,Ratsching/Racines,ITA,Slovenia,European Cup,Parallel Slalom,17,70.00
4,Sustersic Izidor,Male,22-02-2014,Rosa Khutor,RUS,Slovenia,Olympic Winter Games,Parallel Slalom,30,
5,Sustersic Izidor,Male,19-02-2014,Rosa Khutor,RUS,Slovenia,Olympic Winter Games,Parallel GS,21,100.00
6,Sustersic Izidor,Male,01-02-2014,Sudelfeld,GER,Slovenia,World Cup,Parallel GS,35,20.00
7,Sustersic Izidor,Male,18-01-2014,Rogla,SLO,Slovenia,World Cup,Parallel GS,44,17.30
8,Sustersic Izidor,Male,12-01-2014,Bad Gastein,AUT,Slovenia,World Cup,Parallel Slalom,18,130.00
9,Sustersic Izidor,Male,10-01-2014,Bad Gastein,AUT,Slovenia,World Cup,Parallel Slalom,12,220.00
10,Sustersic Izidor,Male,22-12-2013,Schönberg-Lachtal,AUT,Slovenia,European Cup,Parallel Slalom,32,13.00
11,Sustersic Izidor,Male,21-12-2013,Schönberg-Lachtal,AUT,Slovenia,European Cup,Parallel Slalom,40,
12,Sustersic Izidor,Male,14-12-2013,Carezza,ITA,Slovenia,World Cup,Parallel Slalom,33,24.00
13,Sustersic Izidor,Male,08-11-2013,Landgraaf,NED,Slovenia,FIS,Parallel Slalom,16,39.00
14,Sustersic Izidor,Male,07-11-2013,Landgraaf,NED,Slovenia,FIS,Parallel Slalom,4,130.00
15,Sustersic Izidor,Male,16-03-2013,La Molina,ESP,Slovenia,World Cup,Parallel GS,46,16.70
16,Sustersic Izidor,Male,10-03-2013,Arosa,SUI,Slovenia,World Cup,Parallel GS,33,24.00
