,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Suzuki Shun,Male,01-03-2025,Hakuba,JPN,Japan,Asian Cup,Slopestyle,20,28.10
1,Suzuki Shun,Male,03-03-2024,Tsugaike,JPN,Japan,National Championships,Big Air,DNS,
2,Suzuki Shun,Male,28-02-2024,Hakuba,JPN,Japan,Asian Cup,Slopestyle,31,0.10
3,Suzuki Shun,Male,25-03-2023,Niseko,JPN,Japan,National Championships,Big Air,16,27.80
4,Suzuki Shun,Male,24-03-2023,Niseko,JPN,Japan,National Championships,Slopestyle,14,39.80
5,Suzuki Shun,Male,29-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,26,18.10
6,Suzuki Shun,Male,28-01-2023,Niseko,JPN,Japan,FIS,Slopestyle,30,14.40
7,Suzuki Shun,Male,02-04-2022,Tsugaike,JPN,Japan,FIS,Big Air,DNS,
8,Suzuki Shun,Male,30-03-2022,Hakuba,JPN,Japan,FIS,Slopestyle,23,12.00
9,Suzuki Shun,Male,06-03-2022,Niseko,JPN,Japan,National Championships,Big Air,28,16.50
10,Suzuki Shun,Male,05-03-2022,Niseko,JPN,Japan,National Championships,Slopestyle,26,20.60
11,Suzuki Shun,Male,30-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,33,14.00
12,Suzuki Shun,Male,29-01-2022,Niseko,JPN,Japan,FIS,Slopestyle,24,19.80
