,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Taggart Jack,Male,12-02-2025,Aspen / Highlands,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,16,47.50
1,Taggart Jack,Male,13-01-2025,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,5,75.10
2,Taggart Jack,Male,17-08-2024,The Remarkables,NZL,United States Of America,Australian New Zealand Cup,Slopestyle,25,12.90
3,Taggart Jack,Male,04-04-2024,"Copper Mountain, CO",USA,United States Of America,National Championships,Slopestyle,5,49.30
4,Taggart Jack,Male,30-03-2024,"Copper Mountain, CO",USA,United States Of America,National Championships,Rail Event,11,
5,Taggart Jack,Male,17-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,22,10.60
6,Taggart Jack,Male,04-03-2024,Mammoth Mountain Ski Resort,USA,United States Of America,FIS,Slopestyle,10,14.90
7,Taggart Jack,Male,28-02-2024,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,4,29.60
8,Taggart Jack,Male,16-02-2024,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,16,10.80
9,Taggart Jack,Male,08-02-2024,Mammoth Mountain,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,48,2.80
10,Taggart Jack,Male,26-01-2024,Copper Mountain,USA,United States Of America,Nor-Am Cup,Slopestyle,26,17.20
11,Taggart Jack,Male,18-01-2024,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Big Air,9,49.50
12,Taggart Jack,Male,17-01-2024,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Slopestyle,33,18.80
13,Taggart Jack,Male,01-03-2023,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,19,7.80
14,Taggart Jack,Male,15-02-2023,Mammoth Mountain,USA,United States Of America,FIS,Slopestyle,2,41.50
15,Taggart Jack,Male,03-02-2023,Woodward - Park City,USA,United States Of America,FIS,Slopestyle,5,25.20
16,Taggart Jack,Male,11-03-2022,Northstar California Resorts,USA,United States Of America,FIS,Halfpipe,4,25.60
17,Taggart Jack,Male,09-03-2022,Northstar California Resorts,USA,United States Of America,FIS,Slopestyle,7,17.90
