,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Takekawa Shin,Male,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,5,
1,Takekawa Shin,Male,27-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Slalom,3,96.00
2,Takekawa Shin,Male,26-02-2025,Akan,JPN,Japan,National Junior Championships,Parallel Giant Slalom,1,70.00
3,Takekawa Shin,Male,24-03-2024,Lachtal,AUT,Japan,FIS Junior World Championships,Parallel Slalom Team,17,
4,Takekawa Shin,Male,23-03-2024,Lachtal,AUT,Japan,FIS Junior World Championships,Parallel Slalom,DSQ,
5,Takekawa Shin,Male,23-03-2024,Lachtal,AUT,Japan,Qualification,Parallel Slalom,DSQ,
6,Takekawa Shin,Male,22-03-2024,Lachtal,AUT,Japan,FIS Junior World Championships,Parallel Giant Slalom,7,86.40
7,Takekawa Shin,Male,22-03-2024,Lachtal,AUT,Japan,Qualification,Parallel Giant Slalom,5,
8,Takekawa Shin,Male,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,4,90.00
9,Takekawa Shin,Male,01-03-2024,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,5,81.00
10,Takekawa Shin,Male,02-02-2024,High1resort,KOR,Japan,FIS,Parallel Slalom,3,132.00
11,Takekawa Shin,Male,01-02-2024,High1resort,KOR,Japan,FIS,Parallel Giant Slalom,6,88.00
12,Takekawa Shin,Male,05-03-2023,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,5,49.50
13,Takekawa Shin,Male,04-03-2023,Akan,JPN,Japan,FIS,Parallel Giant Slalom,4,55.00
14,Takekawa Shin,Male,06-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Slalom,1,70.00
15,Takekawa Shin,Male,05-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,4,35.00
