,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Taniguchi Cosmo,Male,22-01-2025,Bardonecchia,ITA,Germany,Universiade,Parallel Slalom,37,
1,Taniguchi Cosmo,Male,21-01-2025,Bardonecchia,ITA,Germany,Universiade,Parallel Giant Slalom,22,23.40
2,Taniguchi Cosmo,Male,22-01-2023,Gore Mountain,USA,Germany,Qualification,Parallel Slalom,15,
3,Taniguchi Cosmo,Male,22-01-2023,Gore Mountain,USA,Germany,Universiade,Parallel Slalom,15,35.20
4,Taniguchi Cosmo,Male,21-01-2023,Gore Mountain,USA,Germany,Qualification,Parallel Giant Slalom,15,
5,Taniguchi Cosmo,Male,21-01-2023,Gore Mountain,USA,Germany,Universiade,Parallel Giant Slalom,14,39.60
6,Taniguchi Cosmo,Male,08-04-2018,Racines,ITA,Germany,European Cup,Parallel Slalom,18,46.80
7,Taniguchi Cosmo,Male,07-04-2018,Racines,ITA,Germany,European Cup,Parallel Slalom,DNF1,
8,Taniguchi Cosmo,Male,18-03-2018,Gosau,AUT,Germany,FIS,Parallel Slalom,18,16.90
9,Taniguchi Cosmo,Male,17-03-2018,Gosau,AUT,Germany,FIS,Parallel Slalom,13,26.00
10,Taniguchi Cosmo,Male,11-03-2018,Tauplitz,AUT,Germany,European Cup,Parallel Slalom,42,
11,Taniguchi Cosmo,Male,10-03-2018,Tauplitz,AUT,Germany,European Cup,Parallel Slalom,33,5.76
12,Taniguchi Cosmo,Male,04-03-2018,Davos,SUI,Germany,Junior,Parallel Slalom,8,32.00
13,Taniguchi Cosmo,Male,03-03-2018,Davos,SUI,Germany,Junior,Parallel Slalom,15,16.00
14,Taniguchi Cosmo,Male,25-02-2018,Funes/Villnoess,ITA,Germany,FIS,Parallel GS,25,12.00
15,Taniguchi Cosmo,Male,24-02-2018,Funes/Villnoess,ITA,Germany,FIS,Parallel GS,26,10.00
16,Taniguchi Cosmo,Male,18-02-2018,Simonhoehe,AUT,Germany,FIS,Parallel GS,26,11.00
17,Taniguchi Cosmo,Male,17-02-2018,Simonhoehe,AUT,Germany,FIS,Parallel GS,26,11.00
