,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tanja Tinkara,Female,05-04-2025,Vogel,SLO,Slovenia,National Championships,Big Air,1,10.00
1,Tanja Tinkara,Female,29-03-2025,Vogel,SLO,Slovenia,FIS,Big Air,1,10.00
2,Tanja Tinkara,Female,29-03-2025,Vogel,SLO,Slovenia,FIS,Slopestyle,1,20.00
3,Tanja Tinkara,Female,07-03-2025,Szczyrk,POL,Slovenia,European Cup,Rail Event,2,89.00
4,Tanja Tinkara,Female,19-01-2025,Bardonecchia,ITA,Slovenia,Universiade,Big Air,1,10.00
5,Tanja Tinkara,Female,17-01-2025,Bardonecchia,ITA,Slovenia,Universiade,Slopestyle,1,50.00
6,Tanja Tinkara,Female,14-04-2024,Corvatsch,SUI,Slovenia,European Cup Premium,Big Air,23,11.30
7,Tanja Tinkara,Female,12-04-2024,Corvatsch,SUI,Slovenia,European Cup Premium,Slopestyle,16,48.10
8,Tanja Tinkara,Female,30-03-2024,Vogel,SLO,Slovenia,National Championships,Big Air,1,10.00
9,Tanja Tinkara,Female,12-03-2024,Laax,SUI,Slovenia,European Cup Premium,Slopestyle,15,22.70
10,Tanja Tinkara,Female,22-02-2024,Prato Nevoso,ITA,Slovenia,European Cup,Slopestyle,13,21.00
11,Tanja Tinkara,Female,15-02-2024,Davos,SUI,Slovenia,European Cup,Big Air,14,11.20
12,Tanja Tinkara,Female,05-01-2024,Font Romeu,FRA,Slovenia,European Cup,Big Air,13,6.60
13,Tanja Tinkara,Female,04-01-2024,Font Romeu,FRA,Slovenia,European Cup Premium,Slopestyle,13,10.90
14,Tanja Tinkara,Female,29-01-2023,Bjelasnica,BIH,Slovenia,FIS,Slopestyle,4,10.60
15,Tanja Tinkara,Female,25-01-2023,Prato Nevoso,ITA,Slovenia,European Cup,Slopestyle,13,0.10
16,Tanja Tinkara,Female,20-01-2023,Gore Mountain,USA,Slovenia,Universiade,Big Air,4,0.20
17,Tanja Tinkara,Female,19-01-2023,Gore Mountain,USA,Slovenia,Qualification,Big Air,4,
18,Tanja Tinkara,Female,18-01-2023,Gore Mountain,USA,Slovenia,Universiade,Slopestyle,3,21.30
19,Tanja Tinkara,Female,17-01-2023,Gore Mountain,USA,Slovenia,Qualification,Slopestyle,4,
20,Tanja Tinkara,Female,29-04-2022,Kanin,SLO,Slovenia,National Championships,Big Air,1,20.00
21,Tanja Tinkara,Female,07-04-2022,Corvatsch,SUI,Slovenia,European Cup Premium,Slopestyle,11,23.40
22,Tanja Tinkara,Female,15-03-2022,Laax,SUI,Slovenia,European Cup Premium,Slopestyle,12,13.50
23,Tanja Tinkara,Female,26-02-2022,Götschen,GER,Slovenia,European Cup,Big Air,9,35.00
24,Tanja Tinkara,Female,25-02-2022,Götschen,GER,Slovenia,European Cup,Slopestyle,19,15.30
25,Tanja Tinkara,Female,21-02-2021,Götschen,GER,Slovenia,European Cup,Slopestyle,DNS,
26,Tanja Tinkara,Female,08-02-2021,Kopaonik,SRB,Slovenia,European Cup,Big Air,8,11.07
27,Tanja Tinkara,Female,29-02-2020,Moscow,RUS,Slovenia,European Cup Premium,Big Air,DNS,
28,Tanja Tinkara,Female,25-02-2020,Kopaonik,SRB,Slovenia,European Cup,Slopestyle,4,80.00
29,Tanja Tinkara,Female,24-02-2020,Kopaonik,SRB,Slovenia,FIS,Big Air,2,96.00
30,Tanja Tinkara,Female,15-02-2020,Kotelnica Bialczanska,POL,Slovenia,European Cup,Big Air,5,72.00
31,Tanja Tinkara,Female,02-11-2019,Modena SKIPASS,ITA,Slovenia,World Cup,Big Air,DNS,
32,Tanja Tinkara,Female,01-11-2019,Modena SKIPASS,ITA,Slovenia,Qualification,Big Air,DNS,
33,Tanja Tinkara,Female,13-04-2019,Klaeppen,SWE,Slovenia,FIS Junior World Championships,Big Air,DNS,
34,Tanja Tinkara,Female,12-04-2019,Klaeppen,SWE,Slovenia,Qualification,Big Air,DNS,
35,Tanja Tinkara,Female,09-04-2019,Klaeppen,SWE,Slovenia,FIS Junior World Championships,Slopestyle,27,10.80
36,Tanja Tinkara,Female,08-04-2019,Klaeppen,SWE,Slovenia,Qualification,Slopestyle,13,
37,Tanja Tinkara,Female,31-03-2019,Vogel,SLO,Slovenia,FIS,Big Air,2,
38,Tanja Tinkara,Female,27-02-2019,Götschen,GER,Slovenia,European Cup,Big Air,2,128.00
39,Tanja Tinkara,Female,26-02-2019,Götschen,GER,Slovenia,European Cup,Big Air,3,96.00
40,Tanja Tinkara,Female,08-02-2019,Kopaonik,SRB,Slovenia,European Cup,Big Air,1,160.00
41,Tanja Tinkara,Female,07-02-2019,Kopaonik,SRB,Slovenia,European Cup,Big Air,2,128.00
42,Tanja Tinkara,Female,03-02-2019,Sarajevo,BIH,Slovenia,European Cup,Big Air,2,128.00
43,Tanja Tinkara,Female,03-02-2019,Sarajevo,BIH,Slovenia,European Cup,Big Air,2,128.00
44,Tanja Tinkara,Female,22-02-2018,Kopaonik,SRB,Slovenia,FIS,Slopestyle,5,31.50
45,Tanja Tinkara,Female,18-02-2018,Sarajevo,BIH,Slovenia,European Cup,Big Air,4,80.00
46,Tanja Tinkara,Female,17-02-2018,Bjelasnica,BIH,Slovenia,FIS,Slopestyle,2,40.00
