,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Toda Ryuto,Male,04-03-2025,Zakopane/Suche,POL,Japan,FIS Junior World Championships,Parallel Giant Slalom,39,
1,Toda Ryuto,Male,04-03-2025,Zakopane/Suche,POL,Japan,Qualification,Parallel Giant Slalom,39,
2,Toda Ryuto,Male,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,14,28.80
3,Toda Ryuto,Male,27-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Slalom,10,41.60
4,Toda Ryuto,Male,26-02-2025,Akan,JPN,Japan,National Junior Championships,Parallel Giant Slalom,2,56.00
5,Toda Ryuto,Male,10-01-2025,"Howelsen Hill - Steamboat, CO",USA,Japan,Nor-Am Cup,Parallel Giant Slalom,5,72.00
6,Toda Ryuto,Male,09-01-2025,"Howelsen Hill - Steamboat, CO",USA,Japan,Nor-Am Cup,Parallel Giant Slalom,6,64.00
7,Toda Ryuto,Male,08-01-2025,"Howelsen Hill - Steamboat, CO",USA,Japan,FIS,Giant Slalom,5,40.50
8,Toda Ryuto,Male,02-03-2024,Akan,JPN,Japan,FIS,Parallel Giant Slalom,9,52.20
9,Toda Ryuto,Male,01-03-2024,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,12,39.60
10,Toda Ryuto,Male,04-04-2023,Copper Mountain Resort,USA,Japan,National Championships,Parallel Slalom,21,29.00
11,Toda Ryuto,Male,03-04-2023,Copper Mountain Resort,USA,Japan,National Championships,Parallel Giant Slalom,13,58.00
12,Toda Ryuto,Male,05-03-2023,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,7,39.60
13,Toda Ryuto,Male,04-03-2023,Akan,JPN,Japan,FIS,Parallel Giant Slalom,10,28.60
14,Toda Ryuto,Male,14-01-2023,Steamboat Ski and Resort / Howelsen Hill,USA,Japan,FIS,Parallel Giant Slalom,16,18.00
15,Toda Ryuto,Male,13-01-2023,Steamboat Ski and Resort / Howelsen Hill,USA,Japan,Nor-Am Cup,Parallel Slalom,14,28.80
16,Toda Ryuto,Male,12-01-2023,Steamboat Ski and Resort / Howelsen Hill,USA,Japan,Nor-Am Cup,Parallel Giant Slalom,20,17.60
17,Toda Ryuto,Male,06-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Slalom,13,14.00
18,Toda Ryuto,Male,05-03-2022,Kurikoma Akiata,JPN,Japan,FIS,Parallel Giant Slalom,21,7.00
19,Toda Ryuto,Male,25-02-2022,Akan,JPN,Japan,National Championships,Parallel Giant Slalom,DNF,
