,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tomita Sena,Female,10-02-2024,Calgary,CAN,Japan,World Cup,Halfpipe,3,669.40
1,Tomita Sena,Female,09-02-2024,Calgary,CAN,Japan,Qualification,Halfpipe,3,
2,Tomita Sena,Female,03-02-2024,Mammoth Mountain,USA,Japan,World Cup,Halfpipe,2,820.70
3,Tomita Sena,Female,30-01-2024,Mammoth Mountain,USA,Japan,Qualification,Halfpipe,6,
4,Tomita Sena,Female,20-01-2024,Laax,SUI,Japan,World Cup,Halfpipe,7,345.00
5,Tomita Sena,Female,08-12-2023,Secret Garden,CHN,Japan,World Cup,Halfpipe,8,265.30
6,Tomita Sena,Female,06-12-2023,Secret Garden,CHN,Japan,Qualification,Halfpipe,1,
7,Tomita Sena,Female,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,1,320.00
8,Tomita Sena,Female,10-02-2022,Beijing,CHN,Japan,Olympic Winter Games,Halfpipe,3,680.80
9,Tomita Sena,Female,09-02-2022,Beijing,CHN,Japan,Qualification,Halfpipe,5,
10,Tomita Sena,Female,15-01-2022,Laax,SUI,Japan,World Cup,Halfpipe,4,576.50
11,Tomita Sena,Female,13-01-2022,Laax,SUI,Japan,Qualification,Halfpipe,8,
12,Tomita Sena,Female,08-01-2022,Mammoth Mountain,USA,Japan,World Cup,Halfpipe,3,684.90
13,Tomita Sena,Female,06-01-2022,Mammoth Mountain,USA,Japan,Qualification,Halfpipe,5,
14,Tomita Sena,Female,11-12-2021,Copper Mountain,USA,Japan,World Cup,Halfpipe,2,826.60
15,Tomita Sena,Female,09-12-2021,Copper Mountain,USA,Japan,Qualification,Halfpipe,2,
16,Tomita Sena,Female,14-04-2021,Sapporo,JPN,Japan,National Championships,Halfpipe,4,181.14
17,Tomita Sena,Female,21-03-2021,Aspen,USA,Japan,World Cup,Halfpipe,3,683.94
18,Tomita Sena,Female,18-03-2021,Aspen,USA,Japan,Qualification,Halfpipe,4,
