,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Toyoda Asa,Female,02-03-2025,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,DNF,
1,Toyoda Asa,Female,02-03-2025,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,DNF,
2,Toyoda Asa,Female,01-03-2025,Krynica,POL,Japan,Qualification,Parallel Giant Slalom,34,
3,Toyoda Asa,Female,01-03-2025,Krynica,POL,Japan,World Cup,Parallel Giant Slalom,34,22.00
4,Toyoda Asa,Female,20-02-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,1,160.00
5,Toyoda Asa,Female,19-02-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,3,96.00
6,Toyoda Asa,Female,16-02-2025,Val St. Come,CAN,Japan,Qualification,Parallel Giant Slalom,DSQ,
7,Toyoda Asa,Female,16-02-2025,Val St. Come,CAN,Japan,World Cup,Parallel Giant Slalom,DSQ,
8,Toyoda Asa,Female,15-02-2025,Val St. Come,CAN,Japan,Qualification,Parallel Giant Slalom,25,
9,Toyoda Asa,Female,15-02-2025,Val St. Come,CAN,Japan,World Cup,Parallel Giant Slalom,25,60.00
10,Toyoda Asa,Female,06-02-2025,Toronto Ski Club,CAN,Japan,Nor-Am Cup,Parallel Slalom,4,145.00
11,Toyoda Asa,Female,05-02-2025,Toronto Ski Club,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,4,145.00
12,Toyoda Asa,Female,02-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,4,160.00
13,Toyoda Asa,Female,02-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,14,
14,Toyoda Asa,Female,01-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,28,
15,Toyoda Asa,Female,01-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,28,
16,Toyoda Asa,Female,26-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,13,72.00
17,Toyoda Asa,Female,25-01-2025,Rogla,SLO,Japan,Qualification,Parallel Giant Slalom,24,
18,Toyoda Asa,Female,25-01-2025,Rogla,SLO,Japan,World Cup,Parallel Giant Slalom,24,70.00
19,Toyoda Asa,Female,22-01-2025,Bansko,BUL,Japan,European Cup,Parallel Giant Slalom,20,39.60
20,Toyoda Asa,Female,21-01-2025,Bansko,BUL,Japan,European Cup,Parallel Giant Slalom,4,180.00
21,Toyoda Asa,Female,19-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,35,
22,Toyoda Asa,Female,19-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,35,20.00
23,Toyoda Asa,Female,18-01-2025,Bansko,BUL,Japan,Qualification,Parallel Giant Slalom,19,
24,Toyoda Asa,Female,18-01-2025,Bansko,BUL,Japan,World Cup,Parallel Giant Slalom,19,120.00
25,Toyoda Asa,Female,10-01-2025,"Howelsen Hill - Steamboat, CO",USA,Japan,Nor-Am Cup,Parallel Giant Slalom,1,160.00
26,Toyoda Asa,Female,09-01-2025,"Howelsen Hill - Steamboat, CO",USA,Japan,Nor-Am Cup,Parallel Giant Slalom,1,160.00
27,Toyoda Asa,Female,04-01-2025,Val Saint Come,CAN,Japan,Nor-Am Cup,Parallel Giant Slalom,4,90.00
