,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Trerotola Mia,Female,28-08-2024,Corralco,CHI,United States Of America,South American Cup,Snowboard Cross,6,64.00
1,Trerotola Mia,Female,27-08-2024,Corralco,CHI,United States Of America,South American Cup,Snowboard Cross,6,64.00
2,Trerotola Mia,Female,28-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,DNS,
3,Trerotola Mia,Female,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
4,Trerotola Mia,Female,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,9,46.40
5,Trerotola Mia,Female,28-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
6,Trerotola Mia,Female,27-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,6,64.00
7,Trerotola Mia,Female,22-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,14,28.80
8,Trerotola Mia,Female,21-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,8,51.20
9,Trerotola Mia,Female,09-12-2023,Pitztal,AUT,United States Of America,Junior,Snowboard Cross,DNS,
10,Trerotola Mia,Female,21-03-2023,Mt. Orignal,CAN,United States Of America,Junior,Snowboard Cross,13,20.00
11,Trerotola Mia,Female,20-03-2023,Mt. Orignal,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,16,24.00
12,Trerotola Mia,Female,17-03-2023,Horseshoe Resort,CAN,United States Of America,National Junior Championships,Snowboard Cross,14,19.80
13,Trerotola Mia,Female,16-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,12,35.20
14,Trerotola Mia,Female,15-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,16,24.00
15,Trerotola Mia,Female,03-03-2023,Sunday River Resort,USA,United States Of America,FIS,Snowboard Cross,8,28.80
16,Trerotola Mia,Female,02-03-2023,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,9,46.40
17,Trerotola Mia,Female,01-03-2023,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,14,28.80
18,Trerotola Mia,Female,10-02-2023,Gore Mountain Ski Area,USA,United States Of America,FIS,Snowboard Cross,7,18.00
19,Trerotola Mia,Female,08-02-2023,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,19,31.20
20,Trerotola Mia,Female,07-02-2023,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,22,23.40
21,Trerotola Mia,Female,03-04-2022,Copper Mountain Resort,USA,United States Of America,National Championships,Snowboard Cross,6,36.00
22,Trerotola Mia,Female,28-03-2022,Copper Mountain Resort,USA,United States Of America,FIS,Snowboard Cross,9,20.30
23,Trerotola Mia,Female,26-03-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,DNS,
24,Trerotola Mia,Female,25-03-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,8,51.20
25,Trerotola Mia,Female,12-03-2022,Beaver Valley,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,15,25.60
26,Trerotola Mia,Female,11-03-2022,Beaver Valley,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
27,Trerotola Mia,Female,07-02-2022,Gore Mountain,USA,United States Of America,Nor-Am Cup,Snowboard Cross,8,51.20
28,Trerotola Mia,Female,06-02-2022,Gore Mountain,USA,United States Of America,Nor-Am Cup,Snowboard Cross,DNS,
29,Trerotola Mia,Female,04-04-2021,Copper Mountain Resort,USA,United States Of America,National Championships,Snowboard Cross,8,48.00
30,Trerotola Mia,Female,03-04-2021,Copper Mountain Resort,USA,United States Of America,FIS,Snowboard Cross,17,
31,Trerotola Mia,Female,02-04-2021,Copper Mountain Resort,USA,United States Of America,FIS,Snowboard Cross,14,27.00
