,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tsiridis Dimitrios,Male,15-02-2025,Seli ,GRE,Greece,National Championships,Slalom,13,10.00
1,Tsiridis Dimitrios,Male,14-02-2025,Seli ,GRE,Greece,FIS,Giant Slalom,18,6.50
2,Tsiridis Dimitrios,Male,14-02-2025,Seli ,GRE,Greece,National Championships,Giant Slalom,18,6.50
3,Tsiridis Dimitrios,Male,26-01-2025,Anilio,GRE,Greece,National Championships,Rail Event,10,11.30
4,Tsiridis Dimitrios,Male,25-01-2025,Anilio,GRE,Greece,FIS,Slopestyle,14,8.20
5,Tsiridis Dimitrios,Male,08-03-2024,Voras,GRE,Greece,National Championships,Big Air,6,17.30
6,Tsiridis Dimitrios,Male,07-03-2024,Voras,GRE,Greece,FIS,Slopestyle,4,23.70
7,Tsiridis Dimitrios,Male,28-02-2024,Vorras,GRE,Greece,National Championships,Slalom,DSQ,
8,Tsiridis Dimitrios,Male,19-03-2023,Kalavrita,GRE,Greece,FIS,Big Air,10,8.50
9,Tsiridis Dimitrios,Male,18-03-2023,Kalavrita,GRE,Greece,FIS,Slopestyle,13,4.60
10,Tsiridis Dimitrios,Male,09-04-2022,PARNASSOS,GRE,Greece,National Championships,Big Air,14,2.40
11,Tsiridis Dimitrios,Male,08-04-2022,PARNASSOS,GRE,Greece,FIS,Slopestyle,15,0.10
