,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tsuchihara Ryota,Male,23-03-2025,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,12,23.70
1,Tsuchihara Ryota,Male,16-03-2025,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,14,16.40
2,Tsuchihara Ryota,Male,02-03-2025,Gujo,JPN,Japan,National Championships,Halfpipe,30,20.80
3,Tsuchihara Ryota,Male,17-03-2024,Spporo,JPN,Japan,National Championships,Halfpipe,18,42.30
4,Tsuchihara Ryota,Male,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,21,10.10
5,Tsuchihara Ryota,Male,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,7,64.30
6,Tsuchihara Ryota,Male,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,27,25.70
7,Tsuchihara Ryota,Male,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,17,14.30
8,Tsuchihara Ryota,Male,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,19,14.00
9,Tsuchihara Ryota,Male,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,33,12.80
10,Tsuchihara Ryota,Male,13-03-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,19,4.90
11,Tsuchihara Ryota,Male,20-02-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,23,1.40
12,Tsuchihara Ryota,Male,14-04-2021,Sapporo,JPN,Japan,National Championships,Halfpipe,23,20.24
13,Tsuchihara Ryota,Male,14-03-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,25,0.75
14,Tsuchihara Ryota,Male,23-02-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,22,1.19
