,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Turcotte Felicia,Female,05-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,4,100.00
1,Turcotte Felicia,Female,04-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,7,72.00
2,Turcotte Felicia,Female,18-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,10,93.60
3,Turcotte Felicia,Female,17-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,22,32.40
4,Turcotte Felicia,Female,15-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,19,43.20
5,Turcotte Felicia,Female,29-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,4,80.00
6,Turcotte Felicia,Female,28-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,8,51.20
7,Turcotte Felicia,Female,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,2,128.00
8,Turcotte Felicia,Female,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,6,64.00
9,Turcotte Felicia,Female,01-03-2024,Sunday River Resort,USA,Canada,FIS,Snowboard Cross,1,90.00
10,Turcotte Felicia,Female,28-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,3,96.00
11,Turcotte Felicia,Female,27-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,5,72.00
12,Turcotte Felicia,Female,23-02-2024,Gore Mountain Ski Area,USA,Canada,FIS,Snowboard Cross,5,45.00
13,Turcotte Felicia,Female,21-02-2024,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,DNS,
14,Turcotte Felicia,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,5,99.00
15,Turcotte Felicia,Female,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,5,99.00
16,Turcotte Felicia,Female,20-03-2023,Mt. Orignal,CAN,Canada,Nor-Am Cup,Snowboard Cross,5,72.00
