,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tuttle Alex,Male,01-03-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
1,Tuttle Alex,Male,28-02-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,4,80.00
2,Tuttle Alex,Male,06-03-2015,Owl' s Head,CAN,United States Of America,FIS,Snowboardcross,1,100.00
3,Tuttle Alex,Male,27-01-2015,Tremblant.QC,CAN,United States Of America,Nor-Am Cup,Snowboardcross,4,100.00
4,Tuttle Alex,Male,12-01-2014,Vallnord-Arcalís,AND,United States Of America,World Cup,Snowboardcross,23,80.00
5,Tuttle Alex,Male,11-01-2014,Vallnord-Arcalís,AND,United States Of America,World Cup,Snowboardcross,21,100.00
6,Tuttle Alex,Male,10-01-2014,Vallnord-Arcalís,AND,United States Of America,Qualification,Snowboardcross,24,
7,Tuttle Alex,Male,21-12-2013,Lake Louise,CAN,United States Of America,World Cup,Snowboardcross,35,20.00
8,Tuttle Alex,Male,20-12-2013,Lake Louise,CAN,United States Of America,Qualification,Snowboardcross,35,
9,Tuttle Alex,Male,07-12-2013,Montafon,AUT,United States Of America,World Cup,Snowboardcross,27,45.00
10,Tuttle Alex,Male,06-12-2013,Montafon,AUT,United States Of America,Qualification,Snowboardcross,23,
11,Tuttle Alex,Male,21-03-2013,Sierra Nevada,ESP,United States Of America,World Cup,Snowboardcross,15,160.00
12,Tuttle Alex,Male,16-03-2013,Veysonnaz,SUI,United States Of America,World Cup,Snowboardcross,11,240.00
13,Tuttle Alex,Male,15-03-2013,Veysonnaz,SUI,United States Of America,Qualification,Snowboardcross,4,
14,Tuttle Alex,Male,09-03-2013,Arosa,SUI,United States Of America,World Cup,Snowboardcross,38,19.10
15,Tuttle Alex,Male,08-03-2013,Arosa,SUI,United States Of America,Qualification,Snowboardcross,45,
16,Tuttle Alex,Male,02-03-2013,Canyons,USA,United States Of America,Nor-Am Cup,Snowboardcross,3,300.00
17,Tuttle Alex,Male,17-02-2013,Sochi,RUS,United States Of America,World Cup,Snowboardcross,46,16.70
18,Tuttle Alex,Male,16-02-2013,Sochi,RUS,United States Of America,Qualification,Snowboardcross,35,
19,Tuttle Alex,Male,05-02-2013,Killington,USA,United States Of America,Nor-Am Cup,Snowboardcross,2,320.00
20,Tuttle Alex,Male,02-02-2013,Blue Mountain,CAN,United States Of America,World Cup,Snowboardcross,11,240.00
21,Tuttle Alex,Male,01-02-2013,Blue Mountain,CAN,United States Of America,Qualification,Snowboardcross,26,
22,Tuttle Alex,Male,14-12-2012,Telluride,USA,United States Of America,World Cup,Snowboardcross,46,16.70
23,Tuttle Alex,Male,12-12-2012,Telluride,USA,United States Of America,Qualification,Snowboardcross,46,
24,Tuttle Alex,Male,16-03-2012,Valmalenco,ITA,United States Of America,World Cup,Snowboardcross,43,17.60
25,Tuttle Alex,Male,15-03-2012,Valmalenco,ITA,United States Of America,Qualification,Snowboardcross,22,
26,Tuttle Alex,Male,14-03-2012,Valmalenco,ITA,United States Of America,World Cup,Snowboardcross,2,800.00
27,Tuttle Alex,Male,13-03-2012,Valmalenco,ITA,United States Of America,Qualification,Snowboardcross,18,
28,Tuttle Alex,Male,08-03-2012,"Killington, VT",USA,United States Of America,Nor-Am Cup,Snowboardcross,9,75.40
29,Tuttle Alex,Male,07-03-2012,"Killington, VT",USA,United States Of America,Nor-Am Cup,Snowboardcross,5,108.00
30,Tuttle Alex,Male,29-02-2012,Stoneham,CAN,United States Of America,Nor-Am Cup,Snowboardcross,2,192.00
31,Tuttle Alex,Male,28-02-2012,Stoneham,CAN,United States Of America,Nor-Am Cup,Snowboardcross,DNS,
32,Tuttle Alex,Male,21-02-2012,Stoneham,CAN,United States Of America,World Cup,Snowboardcross,8,320.00
33,Tuttle Alex,Male,20-02-2012,Stoneham,CAN,United States Of America,Qualification,Snowboardcross,45,
34,Tuttle Alex,Male,12-02-2012,"Canyons, UT",USA,United States Of America,Nor-Am Cup,Snowboardcross,17,70.00
35,Tuttle Alex,Male,08-02-2012,Blue Mountain,CAN,United States Of America,World Cup,Snowboardcross,33,24.00
36,Tuttle Alex,Male,07-02-2012,Blue Mountain,CAN,United States Of America,Qualification,Snowboardcross,18,
37,Tuttle Alex,Male,22-01-2012,Veysonnaz,SUI,United States Of America,World Cup,Snowboardcross,22,90.00
38,Tuttle Alex,Male,21-01-2012,Veysonnaz,SUI,United States Of America,Qualification,Snowboardcross,14,
39,Tuttle Alex,Male,19-01-2012,Veysonnaz,SUI,United States Of America,World Cup,Snowboardcross,54,14.30
40,Tuttle Alex,Male,18-01-2012,Veysonnaz,SUI,United States Of America,Qualification,Snowboardcross,54,
41,Tuttle Alex,Male,16-12-2011,Telluride,USA,United States Of America,World Cup,Snowboardcross,10,260.00
42,Tuttle Alex,Male,14-12-2011,Telluride,USA,United States Of America,Qualification,Snowboardcross,10,
43,Tuttle Alex,Male,25-03-2011,Arosa,SUI,United States Of America,World Cup,Snowboardcross,13,200.00
44,Tuttle Alex,Male,24-03-2011,Arosa,SUI,United States Of America,World Cup,Snowboardcross,8,320.00
45,Tuttle Alex,Male,18-03-2011,Valmalenco,ITA,United States Of America,World Cup,Snowboardcross,19,120.00
46,Tuttle Alex,Male,17-02-2011,Stoneham,CAN,United States Of America,World Cup,Snowboardcross,27,45.00
47,Tuttle Alex,Male,12-02-2011,"The Canyons, UT",USA,United States Of America,Nor-Am Cup,Snowboardcross,14,90.00
48,Tuttle Alex,Male,04-02-2011,"Alpine Meadows, CA",USA,United States Of America,Nor-Am Cup,Snowboardcross,25,14.40
49,Tuttle Alex,Male,03-02-2011,"Alpine Meadows, CA",USA,United States Of America,Nor-Am Cup,Snowboardcross,6,104.00
50,Tuttle Alex,Male,26-01-2011,"Steamboat Springs, CO",USA,United States Of America,Nor-Am Cup,Snowboardcross,1,240.00
51,Tuttle Alex,Male,20-01-2011,"Mt. Hood Meadows, OR",USA,United States Of America,Nor-Am Cup,Snowboardcross,5,144.00
52,Tuttle Alex,Male,19-01-2011,"Mt. Hood Meadows, OR",USA,United States Of America,Nor-Am Cup,Snowboardcross,10,93.60
53,Tuttle Alex,Male,16-01-2011,Big White,CAN,United States Of America,Nor-Am Cup,Snowboardcross,8,76.80
