,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tyler Hayden,Male,21-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Big Air,7,50.00
1,Tyler Hayden,Male,20-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Slopestyle,36,5.80
2,Tyler Hayden,Male,10-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Big Air,19,18.50
3,Tyler Hayden,Male,09-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Slopestyle,46,5.50
4,Tyler Hayden,Male,05-03-2025,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,26,17.50
5,Tyler Hayden,Male,04-03-2025,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,28,25.10
6,Tyler Hayden,Male,26-02-2025,Winsport Calgary,CAN,United States Of America,Nor-Am Cup Premium,Big Air,32,10.30
7,Tyler Hayden,Male,25-02-2025,Winsport Calgary,CAN,United States Of America,Nor-Am Cup Premium,Slopestyle,43,16.10
8,Tyler Hayden,Male,12-02-2025,Aspen / Highlands,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,8,88.60
9,Tyler Hayden,Male,02-02-2025,Aspen,USA,United States Of America,World Cup,Slopestyle,31,114.20
10,Tyler Hayden,Male,31-01-2025,Aspen,USA,United States Of America,Qualification,Slopestyle,13,
11,Tyler Hayden,Male,17-08-2024,The Remarkables,NZL,United States Of America,Australian New Zealand Cup,Slopestyle,15,32.70
12,Tyler Hayden,Male,17-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,1,160.00
13,Tyler Hayden,Male,12-03-2024,Laax,SUI,United States Of America,European Cup Premium,Slopestyle,22,39.60
14,Tyler Hayden,Male,08-02-2024,Mammoth Mountain,USA,United States Of America,Nor-Am Cup Premium,Slopestyle,38,28.80
15,Tyler Hayden,Male,26-01-2024,Copper Mountain,USA,United States Of America,Nor-Am Cup,Slopestyle,30,10.90
16,Tyler Hayden,Male,18-01-2024,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Big Air,22,22.80
17,Tyler Hayden,Male,17-01-2024,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Slopestyle,16,38.90
18,Tyler Hayden,Male,04-09-2023,Cardrona,NZL,United States Of America,FIS Junior World Championships,Big Air,51,8.30
19,Tyler Hayden,Male,02-09-2023,Cardrona,NZL,United States Of America,Qualification,Big Air,23,
20,Tyler Hayden,Male,30-08-2023,Cardrona,NZL,United States Of America,FIS Junior World Championships,Slopestyle,32,44.50
21,Tyler Hayden,Male,28-08-2023,Cardrona,NZL,United States Of America,Qualification,Slopestyle,18,
22,Tyler Hayden,Male,15-03-2023,Stoneham,CAN,United States Of America,Nor-Am Cup,Big Air,15,13.50
23,Tyler Hayden,Male,14-03-2023,Stoneham,CAN,United States Of America,Nor-Am Cup,Slopestyle,8,69.40
24,Tyler Hayden,Male,09-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Slopestyle,35,1.70
25,Tyler Hayden,Male,08-03-2023,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Slopestyle,24,19.50
26,Tyler Hayden,Male,16-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Big Air,17,18.10
27,Tyler Hayden,Male,15-02-2023,Winsport Calgary,CAN,United States Of America,Nor-Am Cup,Slopestyle,29,25.60
28,Tyler Hayden,Male,10-02-2023,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Slopestyle,13,46.80
29,Tyler Hayden,Male,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Slopestyle,42,29.40
30,Tyler Hayden,Male,01-02-2023,Mammoth Mountain,USA,United States Of America,Qualification,Slopestyle,23,
31,Tyler Hayden,Male,26-01-2023,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,18,43.30
