,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ugrina Luka,Male,31-03-2025,Alpe di Siusi/Seiseralm,ITA,Croatia,National Championships,Slopestyle,8,57.20
1,Ugrina Luka,Male,30-03-2025,Alpe di Siusi/Seiseralm,ITA,Croatia,National Championships,Big Air,27,0.20
2,Ugrina Luka,Male,29-03-2025,Vogel,SLO,Croatia,FIS,Big Air,4,23.70
3,Ugrina Luka,Male,29-03-2025,Vogel,SLO,Croatia,FIS,Slopestyle,4,23.70
4,Ugrina Luka,Male,01-03-2025,Bjelasnica/ Sarajevo,BIH,Croatia,FIS,Big Air,2,40.40
5,Ugrina Luka,Male,27-02-2025,Bjelalnica,CRO,Croatia,FIS,Big Air,2,40.40
6,Ugrina Luka,Male,26-02-2025,Bjelalnica,CRO,Croatia,FIS,Slopestyle,5,20.10
7,Ugrina Luka,Male,25-02-2025,Bjelalnica,CRO,Croatia,FIS,Big Air,2,40.20
8,Ugrina Luka,Male,15-02-2025,Bakuriani,GEO,Croatia,European Youth Olympic Festival,Big Air,13,12.40
9,Ugrina Luka,Male,14-02-2025,Bakuriani,GEO,Croatia,Qualification,Big Air,13,
10,Ugrina Luka,Male,12-02-2025,Bakuriani,GEO,Croatia,European Youth Olympic Festival,Slopestyle,21,8.00
11,Ugrina Luka,Male,15-01-2025,Seiser Alm,ITA,Croatia,European Cup,Slopestyle,44,2.50
12,Ugrina Luka,Male,05-01-2025,Font Romeu,FRA,Croatia,European Cup Premium,Slopestyle,38,16.20
13,Ugrina Luka,Male,06-03-2024,Kopaonik,SRB,Croatia,FIS,Slopestyle,3,29.90
14,Ugrina Luka,Male,06-03-2024,Kopaonik,SRB,Croatia,FIS,Big Air,3,29.90
15,Ugrina Luka,Male,05-03-2024,Kopaonik,SRB,Croatia,FIS,Slopestyle,2,39.00
16,Ugrina Luka,Male,05-03-2024,Kopaonik,SRB,Croatia,FIS,Big Air,3,29.90
17,Ugrina Luka,Male,04-03-2024,Kopaonik,SRB,Croatia,National Championships,Big Air,3,29.90
18,Ugrina Luka,Male,04-03-2024,Kopaonik,SRB,Croatia,National Championships,Slopestyle,2,39.00
19,Ugrina Luka,Male,26-02-2023,Bjelasnica,BIH,Croatia,FIS,Big Air,5,19.10
20,Ugrina Luka,Male,25-02-2023,Bjelasnica,BIH,Croatia,FIS,Slopestyle,3,31.70
21,Ugrina Luka,Male,24-02-2023,Platak,BIH,Croatia,FIS,Slopestyle,8,13.70
22,Ugrina Luka,Male,23-02-2023,Platak,BIH,Croatia,FIS,Big Air,6,23.40
23,Ugrina Luka,Male,22-02-2023,Bjelasnica,BIH,Croatia,FIS,Big Air,7,19.60
24,Ugrina Luka,Male,21-02-2023,Bjelasnica,BIH,Croatia,FIS,Big Air,12,7.80
