,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ulbricht Leon,Male,06-04-2024,Gudauri,GEO,Germany,FIS Junior World Championships,Snowboard Cross,1,360.00
1,Ulbricht Leon,Male,05-04-2024,Gudauri,GEO,Germany,Qualification,Snowboard Cross,4,
2,Ulbricht Leon,Male,24-03-2024,Mt. St. Anne,CAN,Germany,World Cup,Snowboard Cross,3,600.00
3,Ulbricht Leon,Male,23-03-2024,Mt. St. Anne,CAN,Germany,World Cup,Snowboard Cross,7,360.00
4,Ulbricht Leon,Male,22-03-2024,Mt. St. Anne,CAN,Germany,Qualification,Snowboard Cross,25,
5,Ulbricht Leon,Male,17-03-2024,Montafon,AUT,Germany,World Cup,Snowboard Cross,12,220.00
6,Ulbricht Leon,Male,16-03-2024,Montafon,AUT,Germany,World Cup,Snowboard Cross,20,110.00
7,Ulbricht Leon,Male,15-03-2024,Montafon,AUT,Germany,Qualification,Snowboard Cross,13,
8,Ulbricht Leon,Male,09-03-2024,Cortina d'Ampezzo,ITA,Germany,World Cup,Snowboard Cross,16,150.00
9,Ulbricht Leon,Male,08-03-2024,Cortina d'Ampezzo,ITA,Germany,Qualification,Snowboard Cross,9,
10,Ulbricht Leon,Male,03-03-2024,Sierra Nevada,ESP,Germany,World Cup,Snowboard Cross,14,180.00
11,Ulbricht Leon,Male,02-03-2024,Sierra Nevada,ESP,Germany,World Cup,Snowboard Cross,1,1000.00
12,Ulbricht Leon,Male,01-03-2024,Sierra Nevada,ESP,Germany,Qualification,Snowboard Cross,22,
13,Ulbricht Leon,Male,25-02-2024,Grasgehren,GER,Germany,European Cup,Snowboard Cross,19,34.80
14,Ulbricht Leon,Male,24-02-2024,Grasgehren,GER,Germany,European Cup,Snowboard Cross,1,320.00
15,Ulbricht Leon,Male,17-02-2024,Colere,ITA,Germany,European Cup,Snowboard Cross,5,108.00
16,Ulbricht Leon,Male,16-02-2024,Colere,ITA,Germany,European Cup,Snowboard Cross,5,108.00
17,Ulbricht Leon,Male,04-02-2024,Gudauri,GEO,Germany,World Cup,Snowboard Cross,40,18.50
18,Ulbricht Leon,Male,03-02-2024,Gudauri,GEO,Germany,World Cup,Snowboard Cross,36,19.70
19,Ulbricht Leon,Male,02-02-2024,Gudauri,GEO,Germany,Qualification,Snowboard Cross,36,
20,Ulbricht Leon,Male,28-01-2024,Grasgehren,GER,Germany,Junior,Snowboard Cross,1,110.00
21,Ulbricht Leon,Male,26-01-2024,St. Moritz,SUI,Germany,World Cup,Snowboard Cross,22,90.00
22,Ulbricht Leon,Male,25-01-2024,St. Moritz,SUI,Germany,Qualification,Snowboard Cross,26,
23,Ulbricht Leon,Male,16-12-2023,Cervinia,ITA,Germany,World Cup,Snowboard Cross,22,90.00
24,Ulbricht Leon,Male,03-12-2023,Les Deux Alpes,FRA,Germany,World Cup,Snowboard Cross,64,
25,Ulbricht Leon,Male,03-12-2023,Les Deux Alpes,FRA,Germany,Qualification,Snowboard Cross,64,
26,Ulbricht Leon,Male,30-03-2023,Passo San Pellegrino,ITA,Germany,FIS Junior World Championships,Snowboard Cross,8,102.40
27,Ulbricht Leon,Male,22-03-2023,Gargellen,AUT,Germany,European Cup,Snowboard Cross,4,130.00
28,Ulbricht Leon,Male,19-03-2023,Passo San Pellegrino,ITA,Germany,FIS,Snowboard Cross,13,36.00
29,Ulbricht Leon,Male,18-03-2023,Passo San Pellegrino,ITA,Germany,FIS,Snowboard Cross,1,180.00
30,Ulbricht Leon,Male,16-03-2023,Veysonnaz,SUI,Germany,World Cup,Snowboard Cross,33,24.00
31,Ulbricht Leon,Male,15-03-2023,Veysonnaz,SUI,Germany,Qualification,Snowboard Cross,33,
32,Ulbricht Leon,Male,12-03-2023,Sierra Nevada,ESP,Germany,World Cup,Snowboard Cross,13,200.00
33,Ulbricht Leon,Male,11-03-2023,Sierra Nevada,ESP,Germany,World Cup,Snowboard Cross,25,60.00
