,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Uliana Margot,Female,30-03-2025,Orcières,FRA,France,European Cup,Snowboard Cross,18,
1,Uliana Margot,Female,29-03-2025,Orcières,FRA,France,European Cup,Snowboard Cross,DNF,
2,Uliana Margot,Female,21-03-2025,Moena-Passo San Pellegrino,ITA,France,Junior,Snowboard Cross,4,75.00
3,Uliana Margot,Female,14-03-2025,Lenk,SUI,France,European Cup,Snowboard Cross,23,20.80
4,Uliana Margot,Female,13-03-2025,Lenk,SUI,France,European Cup,Snowboard Cross,18,33.80
5,Uliana Margot,Female,28-02-2025,Passo San Pellegrino,ITA,France,European Cup,Snowboard Cross,17,36.40
6,Uliana Margot,Female,27-02-2025,Passo San Pellegrino,ITA,France,European Cup,Snowboard Cross,15,41.60
7,Uliana Margot,Female,09-02-2025,Reiteralm,AUT,France,European Cup,Snowboard Cross,16,39.00
8,Uliana Margot,Female,08-02-2025,Reiteralm,AUT,France,European Cup,Snowboard Cross,18,33.80
9,Uliana Margot,Female,02-02-2025,St. Lary,FRA,France,National Championships,Snowboard Cross,7,64.80
10,Uliana Margot,Female,31-01-2025,St. Lary,FRA,France,European Cup,Snowboard Cross,4,130.00
11,Uliana Margot,Female,25-01-2025,Passo San Pellegrino,ITA,France,FIS,Snowboard Cross,5,58.50
12,Uliana Margot,Female,24-01-2025,Passo San Pellegrino,ITA,France,FIS,Snowboard Cross,8,41.60
13,Uliana Margot,Female,12-01-2025,Lenk,SUI,France,Junior Regional Cup,Snowboard Cross,13,36.00
14,Uliana Margot,Female,01-12-2024,Pitztal,AUT,France,Junior,Snowboard Cross,8,70.40
15,Uliana Margot,Female,30-11-2024,Pitztal,AUT,France,Junior,Snowboard Cross,16,33.00
16,Uliana Margot,Female,30-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,16,
