,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Vakurin Pavel,Male,02-02-2017,Shymbulak Ski Resort,KAZ,Kyrgyzstan,Universiade,Snowboardcross,26,7.00
1,Vakurin Pavel,Male,06-02-2015,Sierra Nevada,ESP,Kyrgyzstan,Universiade,Snowboardcross,23,32.00
2,Vakurin Pavel,Male,25-01-2015,Sedrun,SUI,Kyrgyzstan,FIS,Snowboardcross,34,4.40
3,Vakurin Pavel,Male,02-04-2014,Chiesa in Valmalenco,ITA,Kyrgyzstan,FIS Junior World Championships,Snowboardcross,50,6.20
4,Vakurin Pavel,Male,12-01-2014,Vallnord-Arcalís,AND,Kyrgyzstan,World Cup,Snowboardcross,71,0.00
5,Vakurin Pavel,Male,11-01-2014,Vallnord-Arcalís,AND,Kyrgyzstan,World Cup,Snowboardcross,72,0.00
6,Vakurin Pavel,Male,10-01-2014,Vallnord-Arcalís,AND,Kyrgyzstan,Qualification,Snowboardcross,72,
7,Vakurin Pavel,Male,21-12-2013,Lake Louise,CAN,Kyrgyzstan,World Cup,Snowboardcross,72,0.00
8,Vakurin Pavel,Male,20-12-2013,Lake Louise,CAN,Kyrgyzstan,Qualification,Snowboardcross,72,
9,Vakurin Pavel,Male,07-12-2013,Montafon,AUT,Kyrgyzstan,World Cup,Snowboardcross,114,
10,Vakurin Pavel,Male,06-12-2013,Montafon,AUT,Kyrgyzstan,Qualification,Snowboardcross,114,
11,Vakurin Pavel,Male,01-12-2013,Breuil Cervinia,ITA,Kyrgyzstan,FIS,Snowboardcross,43,0.00
12,Vakurin Pavel,Male,30-11-2013,Breuil Cervinia,ITA,Kyrgyzstan,FIS,Snowboardcross,44,4.50
13,Vakurin Pavel,Male,23-03-2013,Lenk,SUI,Kyrgyzstan,European Cup,Snowboardcross,43,5.10
14,Vakurin Pavel,Male,22-03-2013,Lenk,SUI,Kyrgyzstan,European Cup,Snowboardcross,48,4.19
15,Vakurin Pavel,Male,16-03-2013,Veysonnaz,SUI,Kyrgyzstan,World Cup,Snowboardcross,65,0.00
16,Vakurin Pavel,Male,15-03-2013,Veysonnaz,SUI,Kyrgyzstan,Qualification,Snowboardcross,65,
17,Vakurin Pavel,Male,09-03-2013,Arosa,SUI,Kyrgyzstan,World Cup,Snowboardcross,72,0.00
18,Vakurin Pavel,Male,08-03-2013,Arosa,SUI,Kyrgyzstan,Qualification,Snowboardcross,72,
19,Vakurin Pavel,Male,03-03-2013,Erzurum,TUR,Kyrgyzstan,FIS Junior World Championships,Snowboardcross,37,7.76
20,Vakurin Pavel,Male,17-02-2013,Sochi,RUS,Kyrgyzstan,World Cup,Snowboardcross,111,
21,Vakurin Pavel,Male,16-02-2013,Sochi,RUS,Kyrgyzstan,Qualification,Snowboardcross,111,
22,Vakurin Pavel,Male,29-11-2012,"Bobrovyi Log, Krasnoyarsk",RUS,Kyrgyzstan,FIS,Snowboardcross,13,52.00
23,Vakurin Pavel,Male,28-11-2012,"Bobrovyi Log, Krasnoyarsk",RUS,Kyrgyzstan,FIS,Snowboardcross,4,130.00
24,Vakurin Pavel,Male,25-03-2012,Sierra Nevada,ESP,Kyrgyzstan,FIS Junior World Championships,Snowboardcross,44,6.23
25,Vakurin Pavel,Male,17-03-2012,Lenk,SUI,Kyrgyzstan,European Cup,Snowboardcross,46,3.67
26,Vakurin Pavel,Male,16-03-2012,Lenk,SUI,Kyrgyzstan,European Cup,Snowboardcross,47,3.61
27,Vakurin Pavel,Male,26-02-2012,Sochi,RUS,Kyrgyzstan,European Cup,Snowboardcross,24,35.00
28,Vakurin Pavel,Male,25-02-2012,Sochi,RUS,Kyrgyzstan,European Cup,Snowboardcross,32,13.00
29,Vakurin Pavel,Male,14-01-2012,Sedrun,SUI,Kyrgyzstan,FIS,Snowboardcross,66,2.78
30,Vakurin Pavel,Male,08-01-2012,Puy St. Vincent,FRA,Kyrgyzstan,European Cup,Snowboardcross,87,2.20
31,Vakurin Pavel,Male,07-01-2012,Puy St. Vincent,FRA,Kyrgyzstan,European Cup,Snowboardcross,90,1.75
32,Vakurin Pavel,Male,07-12-2011,Bobrovyi Log,RUS,Kyrgyzstan,FIS,Snowboardcross,19,19.20
33,Vakurin Pavel,Male,06-12-2011,Bobrovyi Log,RUS,Kyrgyzstan,FIS,Snowboardcross,13,30.00
34,Vakurin Pavel,Male,09-01-2011,Puy St Vincent,FRA,Kyrgyzstan,FIS,Snowboardcross,87,1.14
35,Vakurin Pavel,Male,08-01-2011,Puy St Vincent,FRA,Kyrgyzstan,European Cup,Snowboardcross,123,0.00
36,Vakurin Pavel,Male,07-01-2011,Puy St Vincent,FRA,Kyrgyzstan,FIS,Snowboardcross,104,
