,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Vaughan Misaki,Female,03-04-2024,"Copper Mountain, CO",USA,Australia,National Championships,Halfpipe,3,65.70
1,Vaughan Misaki,Female,18-03-2024,"Aspen Snowmass, CO",USA,Australia,Nor-Am Cup,Halfpipe,8,65.10
2,Vaughan Misaki,Female,18-03-2024,"Aspen Snowmass, CO",USA,Australia,Nor-Am Cup Premium,Halfpipe,21,0.10
3,Vaughan Misaki,Female,06-03-2024,Mammoth Mountain Ski Resort,USA,Australia,FIS,Halfpipe,3,32.60
4,Vaughan Misaki,Female,03-02-2024,Mammoth Mountain,USA,Australia,World Cup,Halfpipe,15,84.10
5,Vaughan Misaki,Female,30-01-2024,Mammoth Mountain,USA,Australia,Qualification,Halfpipe,15,
6,Vaughan Misaki,Female,25-01-2024,Copper Mountain,USA,Australia,Nor-Am Cup,Halfpipe,3,81.00
7,Vaughan Misaki,Female,10-01-2024,"Copper Mountain, CO",USA,Australia,FIS,Halfpipe,2,40.80
8,Vaughan Misaki,Female,29-03-2023,Copper Mountain,USA,Australia,Nor-Am Cup,Halfpipe,11,16.10
9,Vaughan Misaki,Female,03-03-2023,Northstar California Resorts,USA,Australia,FIS,Halfpipe,3,30.90
10,Vaughan Misaki,Female,01-03-2023,Northstar California Resorts,USA,Australia,FIS,Slopestyle,4,28.20
11,Vaughan Misaki,Female,16-02-2023,Mammoth Mountain,USA,Australia,FIS,Halfpipe,10,0.10
12,Vaughan Misaki,Female,09-02-2023,"Aspen Snowmass, CO",USA,Australia,Nor-Am Cup,Halfpipe,16,0.10
13,Vaughan Misaki,Female,31-01-2023,Park City,USA,Australia,FIS,Halfpipe,2,6.40
14,Vaughan Misaki,Female,27-01-2023,Copper Mountain Resort,USA,Australia,Nor-Am Cup,Halfpipe,11,21.30
15,Vaughan Misaki,Female,11-03-2022,Northstar California Resorts,USA,Australia,FIS,Halfpipe,1,50.00
16,Vaughan Misaki,Female,09-03-2022,Northstar California Resorts,USA,Australia,FIS,Slopestyle,12,5.20
17,Vaughan Misaki,Female,28-02-2022,Copper Mountain Resort,USA,Australia,Nor-Am Cup,Halfpipe,12,14.10
18,Vaughan Misaki,Female,27-02-2022,Copper Mountain Resort,USA,Australia,Nor-Am Cup,Halfpipe,11,17.70
19,Vaughan Misaki,Female,19-01-2022,Mammoth Mountain Ski Resort,USA,Australia,FIS,Slopestyle,DNS,
20,Vaughan Misaki,Female,25-03-2021,Mammoth Mountain Ski Resort,USA,Australia,FIS,Halfpipe,11,11.64
21,Vaughan Misaki,Female,24-03-2021,Mammoth Mountain Ski Resort,USA,Australia,FIS,Slopestyle,15,8.34
