,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Vicktor Noah,Male,10-04-2025,Corvatsch,SUI,Germany,European Cup Premium,Slopestyle,4,298.00
1,Vicktor Noah,Male,08-04-2025,Corvatsch,SUI,Germany,European Cup,Halfpipe,9,46.90
2,Vicktor Noah,Male,28-03-2025,Engadin,SUI,Germany,World Championships,Big Air,39,83.60
3,Vicktor Noah,Male,25-03-2025,Engadin,SUI,Germany,Qualification,Big Air,23,
4,Vicktor Noah,Male,21-03-2025,Engadin,SUI,Germany,World Championships,Slopestyle,8,351.20
5,Vicktor Noah,Male,20-03-2025,Engadin,SUI,Germany,Qualification,Slopestyle,8,
6,Vicktor Noah,Male,22-02-2025,Calgary,CAN,Germany,World Cup,Slopestyle,44,61.60
7,Vicktor Noah,Male,20-02-2025,Calgary,CAN,Germany,Qualification,Slopestyle,22,
8,Vicktor Noah,Male,02-02-2025,Aspen,USA,Germany,World Cup,Slopestyle,DNS,
9,Vicktor Noah,Male,31-01-2025,Aspen,USA,Germany,Qualification,Slopestyle,DNS,
10,Vicktor Noah,Male,18-01-2025,Laax,SUI,Germany,World Cup,Slopestyle,3,696.50
11,Vicktor Noah,Male,16-01-2025,Laax,SUI,Germany,Qualification,Slopestyle,12,
12,Vicktor Noah,Male,11-01-2025,Kreischberg,AUT,Germany,Qualification,Big Air,20,
13,Vicktor Noah,Male,11-01-2025,Kreischberg,AUT,Germany,World Cup,Big Air,41,65.00
14,Vicktor Noah,Male,05-01-2025,Klagenfurt,AUT,Germany,Qualification,Big Air,9,
15,Vicktor Noah,Male,05-01-2025,Klagenfurt,AUT,Germany,World Cup,Big Air,23,133.70
16,Vicktor Noah,Male,01-12-2024,Beijing,CHN,Germany,World Cup,Big Air,19,171.90
17,Vicktor Noah,Male,30-11-2024,Beijing,CHN,Germany,Qualification,Big Air,8,
18,Vicktor Noah,Male,19-10-2024,Chur,SUI,Germany,World Cup,Big Air,21,144.10
19,Vicktor Noah,Male,02-09-2024,Cardrona,NZL,Germany,World Cup,Slopestyle,9,313.80
20,Vicktor Noah,Male,31-08-2024,Cardrona,NZL,Germany,Qualification,Slopestyle,5,
