,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Visintin Omar,Male,09-03-2025,Gudauri,GEO,Italy,World Cup,Snowboard Cross,14,
1,Visintin Omar,Male,08-03-2025,Gudauri,GEO,Italy,World Cup,Snowboard Cross,12,
2,Visintin Omar,Male,07-03-2025,Gudauri,GEO,Italy,Qualification,Snowboard Cross,18,
3,Visintin Omar,Male,02-03-2025,Erzurum,TUR,Italy,World Cup,Snowboard Cross Team,8,
4,Visintin Omar,Male,01-03-2025,Erzurum,TUR,Italy,World Cup,Snowboard Cross,22,90.00
5,Visintin Omar,Male,28-02-2025,Erzurum,TUR,Italy,Qualification,Snowboard Cross,28,
6,Visintin Omar,Male,15-02-2025,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,9,
7,Visintin Omar,Male,15-02-2025,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,19,120.00
8,Visintin Omar,Male,02-02-2025,Beidahu,CHN,Italy,World Cup,Snowboard Cross,23,80.00
9,Visintin Omar,Male,02-02-2025,Beidahu,CHN,Italy,Qualification,Snowboard Cross,26,
10,Visintin Omar,Male,01-02-2025,Beidahu,CHN,Italy,World Cup,Snowboard Cross,24,70.00
11,Visintin Omar,Male,31-01-2025,Beidahu,CHN,Italy,Qualification,Snowboard Cross,31,
12,Visintin Omar,Male,14-12-2024,Cervinia,ITA,Italy,World Cup,Snowboard Cross,52,14.90
13,Visintin Omar,Male,13-12-2024,Cervinia,ITA,Italy,Qualification,Snowboard Cross,52,
14,Visintin Omar,Male,24-03-2024,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,6,400.00
15,Visintin Omar,Male,23-03-2024,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,20,110.00
16,Visintin Omar,Male,22-03-2024,Mt. St. Anne,CAN,Italy,Qualification,Snowboard Cross,21,
17,Visintin Omar,Male,17-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,13,200.00
18,Visintin Omar,Male,16-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,18,130.00
19,Visintin Omar,Male,15-03-2024,Montafon,AUT,Italy,Qualification,Snowboard Cross,5,
20,Visintin Omar,Male,09-03-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,6,400.00
21,Visintin Omar,Male,08-03-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,20,
22,Visintin Omar,Male,03-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,33,24.00
23,Visintin Omar,Male,02-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,29,36.00
24,Visintin Omar,Male,01-03-2024,Sierra Nevada,ESP,Italy,Qualification,Snowboard Cross,27,
25,Visintin Omar,Male,04-02-2024,Gudauri,GEO,Italy,World Cup,Snowboard Cross,3,600.00
26,Visintin Omar,Male,03-02-2024,Gudauri,GEO,Italy,World Cup,Snowboard Cross,4,500.00
27,Visintin Omar,Male,02-02-2024,Gudauri,GEO,Italy,Qualification,Snowboard Cross,10,
28,Visintin Omar,Male,26-01-2024,St. Moritz,SUI,Italy,World Cup,Snowboard Cross,3,600.00
29,Visintin Omar,Male,25-01-2024,St. Moritz,SUI,Italy,Qualification,Snowboard Cross,15,
30,Visintin Omar,Male,17-12-2023,Cervinia,ITA,Italy,World Cup,Snowboard Cross Team,1,
31,Visintin Omar,Male,16-12-2023,Cervinia,ITA,Italy,World Cup,Snowboard Cross,18,130.00
32,Visintin Omar,Male,03-12-2023,Les Deux Alpes,FRA,Italy,Qualification,Snowboard Cross,20,
33,Visintin Omar,Male,03-12-2023,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross,6,400.00
34,Visintin Omar,Male,02-12-2023,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross Team,6,
35,Visintin Omar,Male,26-03-2023,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,5,450.00
36,Visintin Omar,Male,25-03-2023,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,22,90.00
37,Visintin Omar,Male,24-03-2023,Mt. St. Anne,CAN,Italy,Qualification,Snowboard Cross,19,
38,Visintin Omar,Male,16-03-2023,Veysonnaz,SUI,Italy,World Cup,Snowboard Cross,6,400.00
39,Visintin Omar,Male,15-03-2023,Veysonnaz,SUI,Italy,Qualification,Snowboard Cross,22,
40,Visintin Omar,Male,12-03-2023,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,5,450.00
41,Visintin Omar,Male,11-03-2023,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,2,800.00
42,Visintin Omar,Male,02-03-2023,Bakuriani,GEO,Italy,World Championships,Snowboard Cross Team,13,
43,Visintin Omar,Male,01-03-2023,Bakuriani,GEO,Italy,World Championships,Snowboard Cross,3,600.00
44,Visintin Omar,Male,04-02-2023,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,7,360.00
45,Visintin Omar,Male,03-02-2023,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,3,
46,Visintin Omar,Male,17-12-2022,Cervinia,ITA,Italy,World Cup,Snowboard Cross,7,360.00
47,Visintin Omar,Male,16-12-2022,Cervinia,ITA,Italy,World Cup,Snowboard Cross,14,180.00
48,Visintin Omar,Male,15-12-2022,Cervinia,ITA,Italy,Qualification,Snowboard Cross,9,
49,Visintin Omar,Male,04-12-2022,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross,2,800.00
50,Visintin Omar,Male,02-12-2022,Les Deux Alpes,FRA,Italy,Qualification,Snowboard Cross,6,
51,Visintin Omar,Male,20-03-2022,Veysonnaz,SUI,Italy,World Cup,Snowboard Cross,25,60.00
52,Visintin Omar,Male,12-03-2022,Reiteralm,AUT,Italy,World Cup,Snowboard Cross,21,100.00
