,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Volgina Mariia,Female,26-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Slalom,5,130.50
1,Volgina Mariia,Female,25-01-2022,Abzakovo,RUS,Russia,National Championships,Parallel Giant Slalom,11,69.60
2,Volgina Mariia,Female,14-01-2022,Simonhöhe,AUT,Russia,Qualification,Parallel Giant Slalom,34,
3,Volgina Mariia,Female,14-01-2022,Simonhöhe,AUT,Russia,World Cup,Parallel Giant Slalom,34,22.00
4,Volgina Mariia,Female,11-01-2022,Bad Gastein,AUT,Russia,World Cup,Parallel Slalom,17,140.00
5,Volgina Mariia,Female,11-01-2022,Bad Gastein,AUT,Russia,Qualification,Parallel Slalom,17,
6,Volgina Mariia,Female,08-01-2022,Scuol,SUI,Russia,World Cup,Parallel Giant Slalom,24,70.00
7,Volgina Mariia,Female,08-01-2022,Scuol,SUI,Russia,Qualification,Parallel Giant Slalom,24,
8,Volgina Mariia,Female,18-12-2021,Cortina d Ampezzo,ITA,Russia,Qualification,Parallel Giant Slalom,20,
9,Volgina Mariia,Female,18-12-2021,Cortina d Ampezzo,ITA,Russia,World Cup,Parallel Giant Slalom,20,110.00
10,Volgina Mariia,Female,16-12-2021,Carezza,ITA,Russia,Qualification,Parallel Giant Slalom,24,
11,Volgina Mariia,Female,16-12-2021,Carezza,ITA,Russia,World Cup,Parallel Giant Slalom,24,70.00
12,Volgina Mariia,Female,12-12-2021,Bannoye,RUS,Russia,World Cup,Parallel Slalom,27,45.00
13,Volgina Mariia,Female,12-12-2021,Bannoye,RUS,Russia,Qualification,Parallel Slalom,27,
14,Volgina Mariia,Female,11-12-2021,Bannoye,RUS,Russia,World Cup,Parallel Giant Slalom,21,100.00
15,Volgina Mariia,Female,11-12-2021,Bannoye,RUS,Russia,Qualification,Parallel Giant Slalom,21,
16,Volgina Mariia,Female,26-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Slalom,8,70.40
17,Volgina Mariia,Female,25-11-2021,Abzakovo,RUS,Russia,FIS,Parallel Giant Slalom,5,99.00
18,Volgina Mariia,Female,26-03-2021,Krasnoyarsk ,RUS,Russia,FIS Junior World Championships,Parallel Slalom,2,288.00
19,Volgina Mariia,Female,25-03-2021,Krasnoyarsk ,RUS,Russia,Qualification,Parallel Giant Slalom,3,
20,Volgina Mariia,Female,25-03-2021,Krasnoyarsk ,RUS,Russia,FIS Junior World Championships,Parallel Giant Slalom,3,216.00
21,Volgina Mariia,Female,20-03-2021,Berchtesgaden,GER,Russia,World Cup,Parallel Slalom,23,80.00
22,Volgina Mariia,Female,20-03-2021,Berchtesgaden,GER,Russia,Qualification,Parallel Slalom,23,
