,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Vytvar Martin,Male,09-03-2025,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,13,14.00
1,Vytvar Martin,Male,08-03-2025,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,13,14.00
2,Vytvar Martin,Male,23-02-2025,Klinovec,CZE,Czechia,FIS,Snowboard Cross,7,50.40
3,Vytvar Martin,Male,22-02-2025,Klinovec,CZE,Czechia,FIS,Snowboard Cross,8,16.00
4,Vytvar Martin,Male,09-02-2025,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,27,9.90
5,Vytvar Martin,Male,08-02-2025,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,21,26.00
6,Vytvar Martin,Male,02-02-2025,Reiteralm,AUT,Czechia,Junior,Snowboard Cross,19,6.00
7,Vytvar Martin,Male,01-02-2025,Reiteralm,AUT,Czechia,Junior,Snowboard Cross,34,1.10
8,Vytvar Martin,Male,25-01-2025,Passo San Pellegrino,ITA,Czechia,FIS,Snowboard Cross,29,1.80
9,Vytvar Martin,Male,24-01-2025,Passo San Pellegrino,ITA,Czechia,FIS,Snowboard Cross,34,1.10
10,Vytvar Martin,Male,12-01-2025,Lenk,SUI,Czechia,Junior Regional Cup,Snowboard Cross,30,3.84
11,Vytvar Martin,Male,01-12-2024,Pitztal,AUT,Czechia,Junior,Snowboard Cross,58,1.57
12,Vytvar Martin,Male,30-11-2024,Pitztal,AUT,Czechia,Junior,Snowboard Cross,45,2.04
13,Vytvar Martin,Male,30-11-2024,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,45,
14,Vytvar Martin,Male,12-03-2024,Isola 2000,FRA,Czechia,Junior,Snowboard Cross,29,2.52
15,Vytvar Martin,Male,11-03-2024,Isola 2000,FRA,Czechia,Junior,Snowboard Cross,45,
16,Vytvar Martin,Male,01-03-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,17,12.60
17,Vytvar Martin,Male,29-02-2024,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,14,16.20
18,Vytvar Martin,Male,03-02-2024,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,17,7.00
19,Vytvar Martin,Male,02-02-2024,Dolni Morava,CZE,Czechia,Junior,Snowboard Cross,25,5.40
20,Vytvar Martin,Male,28-01-2024,Grasgehren,GER,Czechia,Junior,Snowboard Cross,22,9.90
21,Vytvar Martin,Male,27-01-2024,Grasgehren,GER,Czechia,Junior,Snowboard Cross,27,2.25
22,Vytvar Martin,Male,20-01-2024,Montafon,AUT,Czechia,National Championships,Snowboard Cross,67,3.02
23,Vytvar Martin,Male,17-12-2023,Reiteralm,AUT,Czechia,Junior,Snowboard Cross,27,3.15
24,Vytvar Martin,Male,09-12-2023,Pitztal,AUT,Czechia,Junior,Snowboard Cross,51,1.52
