,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Weis Miriam,Female,09-03-2025,Montafon/Gargellen,AUT,Austria,European Cup,Parallel Slalom,4,180.00
1,Weis Miriam,Female,08-03-2025,Montafon/Gargellen,AUT,Austria,European Cup,Parallel Giant Slalom,10,93.60
2,Weis Miriam,Female,02-03-2025,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,27,
3,Weis Miriam,Female,02-03-2025,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,27,45.00
4,Weis Miriam,Female,01-03-2025,Krynica,POL,Austria,Qualification,Parallel Giant Slalom,35,
5,Weis Miriam,Female,01-03-2025,Krynica,POL,Austria,World Cup,Parallel Giant Slalom,35,20.00
6,Weis Miriam,Female,23-02-2025,Funes - Vilnoessse,ITA,Austria,FIS,Parallel Giant Slalom,26,11.00
7,Weis Miriam,Female,22-02-2025,Funes - Vilnoessse,ITA,Austria,FIS,Parallel Giant Slalom,6,88.00
8,Weis Miriam,Female,09-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Slalom,4,145.00
9,Weis Miriam,Female,08-02-2025,Simonhoehe,AUT,Austria,National Championships,Parallel Giant Slalom,14,52.20
10,Weis Miriam,Female,02-02-2025,Ratschings,ITA,Austria,European Cup,Parallel Slalom,15,51.20
11,Weis Miriam,Female,02-02-2025,Ratschings,ITA,Austria,Qualification,Parallel Slalom,15,
12,Weis Miriam,Female,01-02-2025,Ratschings,ITA,Austria,European Cup,Parallel Slalom,9,104.40
13,Weis Miriam,Female,01-02-2025,Ratschings,ITA,Austria,Qualification,Parallel Slalom,5,
14,Weis Miriam,Female,26-01-2025,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,DNS,
15,Weis Miriam,Female,25-01-2025,Simonhöhe,AUT,Austria,European Cup,Parallel Giant Slalom,1,240.00
16,Weis Miriam,Female,22-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,12,79.20
17,Weis Miriam,Female,21-01-2025,Bansko,BUL,Austria,European Cup,Parallel Giant Slalom,14,64.80
18,Weis Miriam,Female,19-01-2025,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,54,
19,Weis Miriam,Female,19-01-2025,Bansko,BUL,Austria,World Cup,Parallel Giant Slalom,54,
20,Weis Miriam,Female,18-01-2025,Bansko,BUL,Austria,Qualification,Parallel Giant Slalom,21,
21,Weis Miriam,Female,18-01-2025,Bansko,BUL,Austria,World Cup,Parallel Giant Slalom,21,100.00
22,Weis Miriam,Female,15-01-2025,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom Team,9,
23,Weis Miriam,Female,14-01-2025,Bad Gastein,AUT,Austria,Qualification,Parallel Slalom,33,
24,Weis Miriam,Female,14-01-2025,Bad Gastein,AUT,Austria,World Cup,Parallel Slalom,33,24.00
25,Weis Miriam,Female,11-01-2025,Folgaria,ITA,Austria,European Cup,Parallel Giant Slalom,3,144.00
26,Weis Miriam,Female,11-01-2025,Folgaria,ITA,Austria,Qualification,Parallel Giant Slalom,12,
27,Weis Miriam,Female,10-01-2025,Folgaria,ITA,Austria,European Cup,Parallel Giant Slalom,2,192.00
28,Weis Miriam,Female,10-01-2025,Folgaria,ITA,Austria,Qualification,Parallel Giant Slalom,1,
29,Weis Miriam,Female,21-12-2024,Davos,SUI,Austria,Qualification,Parallel Slalom,32,
