,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Wicki Berenice,Female,01-02-2025,Aspen,USA,Switzerland,World Cup,Halfpipe,30,
1,Wicki Berenice,Female,30-01-2025,Aspen,USA,Switzerland,Qualification,Halfpipe,30,
2,Wicki Berenice,Female,18-01-2025,Laax,SUI,Switzerland,World Cup,Halfpipe,14,167.00
3,Wicki Berenice,Female,17-01-2025,Laax,SUI,Switzerland,Qualification,Halfpipe,14,
4,Wicki Berenice,Female,20-12-2024,Copper,USA,Switzerland,World Cup,Halfpipe,20,120.90
5,Wicki Berenice,Female,18-12-2024,Copper,USA,Switzerland,Qualification,Halfpipe,9,
6,Wicki Berenice,Female,08-12-2024,Secret Garden,CHN,Switzerland,World Cup,Halfpipe,13,171.70
7,Wicki Berenice,Female,06-12-2024,Secret Garden,CHN,Switzerland,Qualification,Halfpipe,13,
8,Wicki Berenice,Female,08-04-2024,Corvatsch,SUI,Switzerland,European Cup,Halfpipe,DNS,
9,Wicki Berenice,Female,09-03-2024,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,1,240.00
10,Wicki Berenice,Female,10-02-2024,Calgary,CAN,Switzerland,World Cup,Halfpipe,6,375.90
11,Wicki Berenice,Female,09-02-2024,Calgary,CAN,Switzerland,Qualification,Halfpipe,8,
12,Wicki Berenice,Female,03-02-2024,Mammoth Mountain,USA,Switzerland,World Cup,Halfpipe,5,472.10
13,Wicki Berenice,Female,30-01-2024,Mammoth Mountain,USA,Switzerland,Qualification,Halfpipe,5,
14,Wicki Berenice,Female,20-01-2024,Laax,SUI,Switzerland,World Cup,Halfpipe,11,190.90
15,Wicki Berenice,Female,16-12-2023,Copper Mountain,USA,Switzerland,World Cup,Halfpipe,7,276.00
16,Wicki Berenice,Female,14-12-2023,Copper Mountain,USA,Switzerland,Qualification,Halfpipe,7,
17,Wicki Berenice,Female,08-12-2023,Secret Garden,CHN,Switzerland,World Cup,Halfpipe,10,181.10
18,Wicki Berenice,Female,06-12-2023,Secret Garden,CHN,Switzerland,Qualification,Halfpipe,10,
19,Wicki Berenice,Female,18-03-2023,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,8,34.50
20,Wicki Berenice,Female,03-03-2023,Bakuriani,GEO,Switzerland,World Championships,Halfpipe,8,265.30
21,Wicki Berenice,Female,01-03-2023,Bakuriani,GEO,Switzerland,Qualification,Halfpipe,8,
22,Wicki Berenice,Female,10-02-2023,Calgary,CAN,Switzerland,World Cup,Halfpipe,3,514.30
23,Wicki Berenice,Female,09-02-2023,Calgary,CAN,Switzerland,Qualification,Halfpipe,4,
24,Wicki Berenice,Female,04-02-2023,Mammoth Mountain,USA,Switzerland,World Cup,Halfpipe,6,404.60
25,Wicki Berenice,Female,02-02-2023,Mammoth Mountain,USA,Switzerland,Qualification,Halfpipe,8,
26,Wicki Berenice,Female,21-01-2023,Laax,SUI,Switzerland,World Cup,Halfpipe,12,165.20
27,Wicki Berenice,Female,19-01-2023,Laax,SUI,Switzerland,Qualification,Halfpipe,12,
28,Wicki Berenice,Female,20-03-2022,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,1,180.00
29,Wicki Berenice,Female,10-02-2022,Beijing,CHN,Switzerland,Olympic Winter Games,Halfpipe,7,345.00
30,Wicki Berenice,Female,09-02-2022,Beijing,CHN,Switzerland,Qualification,Halfpipe,8,
31,Wicki Berenice,Female,15-01-2022,Laax,SUI,Switzerland,World Cup,Halfpipe,10,245.60
32,Wicki Berenice,Female,13-01-2022,Laax,SUI,Switzerland,Qualification,Halfpipe,10,
33,Wicki Berenice,Female,08-01-2022,Mammoth Mountain,USA,Switzerland,World Cup,Halfpipe,6,414.70
34,Wicki Berenice,Female,06-01-2022,Mammoth Mountain,USA,Switzerland,Qualification,Halfpipe,6,
35,Wicki Berenice,Female,11-12-2021,Copper Mountain,USA,Switzerland,World Cup,Halfpipe,6,427.10
36,Wicki Berenice,Female,09-12-2021,Copper Mountain,USA,Switzerland,Qualification,Halfpipe,4,
37,Wicki Berenice,Female,27-03-2021,Laax,SUI,Switzerland,European Cup,Halfpipe,1,120.00
38,Wicki Berenice,Female,21-03-2021,Aspen,USA,Switzerland,World Cup,Halfpipe,14,142.88
39,Wicki Berenice,Female,18-03-2021,Aspen,USA,Switzerland,Qualification,Halfpipe,14,
40,Wicki Berenice,Female,13-03-2021,Aspen,USA,Switzerland,World Championships,Halfpipe,17,18.92
41,Wicki Berenice,Female,11-03-2021,Aspen,USA,Switzerland,Qualification,Halfpipe,17,
42,Wicki Berenice,Female,31-01-2021,Crans Montana,SUI,Switzerland,European Cup,Halfpipe,2,162.04
43,Wicki Berenice,Female,23-01-2021,Laax,SUI,Switzerland,World Cup,Halfpipe,22,23.89
44,Wicki Berenice,Female,21-01-2021,Laax,SUI,Switzerland,Qualification,Halfpipe,22,
45,Wicki Berenice,Female,26-01-2020,Crans Montana,SUI,Switzerland,European Cup,Halfpipe,2,128.00
46,Wicki Berenice,Female,20-01-2020,Leysin,SUI,Switzerland,Youth Olympic Winter Games,Halfpipe,3,144.00
