,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Wilk Michal,Male,20-02-2025,KRYNICA,POL,Poland,National Championships,Parallel Giant Slalom,5,45.00
1,Wilk Michal,Male,09-02-2025,Simonhoehe,AUT,Poland,National Championships,Parallel Slalom,26,14.50
2,Wilk Michal,Male,08-02-2025,Simonhoehe,AUT,Poland,National Championships,Parallel Giant Slalom,DNF,
3,Wilk Michal,Male,26-01-2025,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,65,
4,Wilk Michal,Male,25-01-2025,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,24,12.60
5,Wilk Michal,Male,22-01-2025,Bardonecchia,ITA,Poland,Universiade,Parallel Slalom,16,39.00
6,Wilk Michal,Male,21-01-2025,Bardonecchia,ITA,Poland,Universiade,Parallel Giant Slalom,16,39.00
7,Wilk Michal,Male,11-01-2025,Folgaria,ITA,Poland,Qualification,Parallel Giant Slalom,25,
8,Wilk Michal,Male,11-01-2025,Folgaria,ITA,Poland,European Cup,Parallel Giant Slalom,25,10.80
9,Wilk Michal,Male,10-01-2025,Folgaria,ITA,Poland,Qualification,Parallel Giant Slalom,29,
10,Wilk Michal,Male,10-01-2025,Folgaria,ITA,Poland,European Cup,Parallel Giant Slalom,29,6.48
11,Wilk Michal,Male,22-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,37,3.10
12,Wilk Michal,Male,21-12-2024,Moninec,CZE,Poland,FIS,Parallel Slalom,26,8.00
13,Wilk Michal,Male,20-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,36,3.55
14,Wilk Michal,Male,19-12-2024,Moninec,CZE,Poland,European Cup,Parallel Slalom,43,3.52
15,Wilk Michal,Male,07-04-2024,Samnaun,SUI,Poland,National Championships,Giant Slalom,11,69.60
16,Wilk Michal,Male,06-04-2024,Samnaun,SUI,Poland,National Championships,Parallel Slalom,DSQ,
17,Wilk Michal,Male,24-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Slalom Team,12,
18,Wilk Michal,Male,23-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Slalom,DSQ,
19,Wilk Michal,Male,23-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Slalom,DSQ,
20,Wilk Michal,Male,22-03-2024,Lachtal,AUT,Poland,Qualification,Parallel Giant Slalom,27,
21,Wilk Michal,Male,22-03-2024,Lachtal,AUT,Poland,FIS Junior World Championships,Parallel Giant Slalom,27,10.80
22,Wilk Michal,Male,17-03-2024,Spindleruv Mlyn,CZE,Poland,FIS,Parallel Slalom,7,25.20
23,Wilk Michal,Male,16-03-2024,Spindleruv Mlyn,CZE,Poland,FIS,Parallel Slalom,1,70.00
24,Wilk Michal,Male,13-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,DSQ,
25,Wilk Michal,Male,12-03-2024,Davos/Rinerhorn ,SUI,Poland,European Cup,Parallel Giant Slalom,31,10.08
26,Wilk Michal,Male,10-02-2024,Hochficht/Zwiesel,AUT,Poland,National Championships,Parallel Slalom,DSQ,
27,Wilk Michal,Male,09-02-2024,Hochficht/Zwiesel,AUT,Poland,National Championships,Parallel Giant Slalom,17,40.60
28,Wilk Michal,Male,04-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,DSQ,
29,Wilk Michal,Male,03-02-2024,Haus im Ennstal,AUT,Poland,Junior,Parallel Giant Slalom,7,50.40
30,Wilk Michal,Male,24-01-2024,Pamporovo,BUL,Poland,European Cup,Parallel Slalom,27,
31,Wilk Michal,Male,23-01-2024,Pamporovo,BUL,Poland,European Cup,Parallel Slalom,30,
32,Wilk Michal,Male,12-01-2024,Folgaria,ITA,Poland,European Cup,Parallel Slalom,20,26.40
33,Wilk Michal,Male,12-01-2024,Folgaria,ITA,Poland,Qualification,Parallel Slalom,20,
34,Wilk Michal,Male,11-01-2024,Folgaria,ITA,Poland,European Cup,Parallel Slalom,23,19.20
35,Wilk Michal,Male,11-01-2024,Folgaria,ITA,Poland,Qualification,Parallel Slalom,23,
36,Wilk Michal,Male,07-01-2024,Dolni Morava,CZE,Poland,National Championships,Parallel Giant Slalom,6,44.00
37,Wilk Michal,Male,06-01-2024,Dolni Morava,CZE,Poland,National Championships,Parallel Slalom,5,49.50
38,Wilk Michal,Male,21-12-2023,Moninec,CZE,Poland,Junior,Parallel Slalom,6,40.00
39,Wilk Michal,Male,20-12-2023,Moninec,CZE,Poland,European Cup,Parallel Slalom,36,4.33
40,Wilk Michal,Male,19-12-2023,Moninec,CZE,Poland,European Cup,Parallel Slalom,52,3.28
41,Wilk Michal,Male,10-12-2023,Götschen,GER,Poland,Junior,Parallel Slalom,15,20.80
42,Wilk Michal,Male,09-12-2023,Götschen,GER,Poland,European Cup,Parallel Slalom,54,5.15
43,Wilk Michal,Male,09-12-2023,Götschen,GER,Poland,Qualification,Parallel Slalom,54,
44,Wilk Michal,Male,08-12-2023,Götschen,GER,Poland,European Cup,Parallel Slalom,58,4.72
45,Wilk Michal,Male,08-12-2023,Götschen,GER,Poland,Qualification,Parallel Slalom,58,
46,Wilk Michal,Male,02-04-2023,Haus im Ennstal,AUT,Poland,National Championships,Parallel Slalom,DSQ,
47,Wilk Michal,Male,01-04-2023,Haus im Ennstal,AUT,Poland,National Championships,Parallel Giant Slalom,35,
48,Wilk Michal,Male,26-03-2023,Villach - Gerlitzen,AUT,Poland,FIS,Parallel Slalom,DSQ,
49,Wilk Michal,Male,25-03-2023,Villach - Gerlitzen,AUT,Poland,FIS,Parallel Slalom,18,28.60
50,Wilk Michal,Male,05-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,27,14.40
51,Wilk Michal,Male,04-03-2023,Zakopane,POL,Poland,European Cup,Parallel Giant Slalom,37,6.98
52,Wilk Michal,Male,27-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,DSQ,
53,Wilk Michal,Male,26-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Slalom,17,16.80
54,Wilk Michal,Male,25-02-2023,Dolni Morava,CZE,Poland,FIS,Parallel Giant Slalom,15,19.20
55,Wilk Michal,Male,29-01-2023,Simonhöhe,AUT,Poland,European Cup,Parallel Giant Slalom,33,4.32
