,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Winkelmann Luke,Male,23-03-2024,Silvaplana,SUI,United States Of America,World Cup,Slopestyle,16,203.10
1,Winkelmann Luke,Male,21-03-2024,Silvaplana,SUI,United States Of America,Qualification,Slopestyle,3,
2,Winkelmann Luke,Male,15-03-2024,Tignes,FRA,United States Of America,World Cup,Slopestyle,15,206.70
3,Winkelmann Luke,Male,15-03-2024,Tignes,FRA,United States Of America,Qualification,Slopestyle,7,
4,Winkelmann Luke,Male,20-01-2024,Laax,SUI,United States Of America,World Cup,Slopestyle,14,223.10
5,Winkelmann Luke,Male,16-01-2024,Laax,SUI,United States Of America,Qualification,Slopestyle,3,
6,Winkelmann Luke,Male,15-12-2023,Copper Mountain,USA,United States Of America,World Cup,Big Air,32,112.10
7,Winkelmann Luke,Male,13-12-2023,Copper Mountain,USA,United States Of America,Qualification,Big Air,15,
8,Winkelmann Luke,Male,09-12-2023,Edmonton,CAN,United States Of America,World Cup,Big Air,17,186.90
9,Winkelmann Luke,Male,08-12-2023,Edmonton,CAN,United States Of America,Qualification,Big Air,8,
10,Winkelmann Luke,Male,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Slopestyle,15,159.90
11,Winkelmann Luke,Male,01-02-2023,Mammoth Mountain,USA,United States Of America,Qualification,Slopestyle,7,
12,Winkelmann Luke,Male,26-01-2023,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Slopestyle,1,260.00
13,Winkelmann Luke,Male,22-01-2023,Laax,SUI,United States Of America,World Cup,Slopestyle,6,442.60
14,Winkelmann Luke,Male,18-01-2023,Laax,SUI,United States Of America,Qualification,Slopestyle,3,
15,Winkelmann Luke,Male,17-12-2022,Copper Mountain,USA,United States Of America,World Cup,Big Air,7,311.70
16,Winkelmann Luke,Male,15-12-2022,Copper Mountain,USA,United States Of America,Qualification,Big Air,2,
17,Winkelmann Luke,Male,27-03-2022,Silvaplana,SUI,United States Of America,World Cup,Slopestyle,45,20.60
18,Winkelmann Luke,Male,25-03-2022,Silvaplana,SUI,United States Of America,Qualification,Slopestyle,23,
19,Winkelmann Luke,Male,19-03-2022,Spindleruv Mlyn,CZE,United States Of America,World Cup,Slopestyle,3,415.50
20,Winkelmann Luke,Male,18-03-2022,Spindleruv Mlyn,CZE,United States Of America,Qualification,Slopestyle,1,
21,Winkelmann Luke,Male,15-01-2022,Laax,SUI,United States Of America,World Cup,Slopestyle,17,145.80
22,Winkelmann Luke,Male,13-01-2022,Laax,SUI,United States Of America,Qualification,Slopestyle,6,
23,Winkelmann Luke,Male,01-01-2022,Calgary,CAN,United States Of America,World Cup,Slopestyle,3,693.80
24,Winkelmann Luke,Male,31-12-2021,Calgary,CAN,United States Of America,Qualification,Slopestyle,5,
25,Winkelmann Luke,Male,04-12-2021,Steamboat,USA,United States Of America,World Cup,Big Air,27,142.90
26,Winkelmann Luke,Male,02-12-2021,Steamboat,USA,United States Of America,Qualification,Big Air,12,
27,Winkelmann Luke,Male,20-04-2021,Corvatsch,SUI,United States Of America,European Cup Premium,Slopestyle,7,155.18
28,Winkelmann Luke,Male,28-03-2021,Silvaplana,SUI,United States Of America,World Cup,Slopestyle,21,170.36
29,Winkelmann Luke,Male,28-03-2021,Silvaplana,SUI,United States Of America,Qualification,Slopestyle,12,
30,Winkelmann Luke,Male,20-03-2021,Aspen,USA,United States Of America,World Cup,Slopestyle,33,117.00
31,Winkelmann Luke,Male,19-03-2021,Aspen,USA,United States Of America,Qualification,Slopestyle,17,
32,Winkelmann Luke,Male,04-03-2021,Copper Mountain,USA,United States Of America,National Championships,Slopestyle,3,201.05
33,Winkelmann Luke,Male,24-02-2021,Aspen Mountain Ski Area,USA,United States Of America,Open,Slopestyle,12,120.93
34,Winkelmann Luke,Male,09-01-2021,Kreischberg,AUT,United States Of America,World Cup,Big Air,33,117.00
35,Winkelmann Luke,Male,09-01-2021,Kreischberg,AUT,United States Of America,Qualification,Big Air,15,
36,Winkelmann Luke,Male,03-03-2020,Park City,USA,United States Of America,Nor-Am Cup,Slopestyle,2,288.00
37,Winkelmann Luke,Male,02-03-2020,Park City,USA,United States Of America,Nor-Am Cup,Slopestyle,33,8.64
38,Winkelmann Luke,Male,01-02-2020,Mammoth Mountain Resort,USA,United States Of America,World Cup,Slopestyle,7,360.00
39,Winkelmann Luke,Male,30-01-2020,Mammoth Mountain Resort,USA,United States Of America,Qualification,Slopestyle,3,
40,Winkelmann Luke,Male,15-01-2020,Laax,SUI,United States Of America,World Cup,Slopestyle,6,400.00
41,Winkelmann Luke,Male,13-01-2020,Laax,SUI,United States Of America,Qualification,Slopestyle,7,
42,Winkelmann Luke,Male,20-12-2019,Atlanta,USA,United States Of America,World Cup,Big Air,12,220.00
43,Winkelmann Luke,Male,02-11-2019,Modena SKIPASS,ITA,United States Of America,World Cup,Big Air,13,200.00
44,Winkelmann Luke,Male,24-08-2019,Cardrona,NZL,United States Of America,World Cup,Big Air,8,320.00
45,Winkelmann Luke,Male,23-08-2019,Cardrona,NZL,United States Of America,Qualification,Big Air,6,
