,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Wood Jonathon,Male,16-02-2025,Flumserberg,SUI,Great Britain,Junior Regional Cup,Snowboard Cross,30,3.52
1,Wood Jonathon,Male,15-02-2025,Flumserberg,SUI,Great Britain,Junior Regional Cup,Snowboard Cross,27,4.95
2,Wood Jonathon,Male,02-02-2025,Reiteralm,AUT,Great Britain,Junior,Snowboard Cross,35,1.00
3,Wood Jonathon,Male,01-02-2025,Reiteralm,AUT,Great Britain,Junior,Snowboard Cross,40,0.92
4,Wood Jonathon,Male,01-12-2024,Pitztal,AUT,Great Britain,Junior,Snowboard Cross,73,
5,Wood Jonathon,Male,30-11-2024,Pitztal,AUT,Great Britain,Qualification,Snowboard Cross,75,
6,Wood Jonathon,Male,30-11-2024,Pitztal,AUT,Great Britain,Junior,Snowboard Cross,75,
7,Wood Jonathon,Male,27-11-2024,Pitztal,AUT,Great Britain,Qualification,Snowboard Cross,93,
8,Wood Jonathon,Male,27-11-2024,Pitztal,AUT,Great Britain,European Cup,Snowboard Cross,93,
9,Wood Jonathon,Male,02-03-2024,Reiteralm,AUT,Great Britain,Junior,Snowboard Cross,16,13.50
10,Wood Jonathon,Male,01-03-2024,Reiteralm,AUT,Great Britain,Junior,Snowboard Cross,12,19.80
11,Wood Jonathon,Male,03-02-2024,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,25,3.00
12,Wood Jonathon,Male,02-02-2024,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,27,4.05
13,Wood Jonathon,Male,28-01-2024,Grasgehren,GER,Great Britain,Junior,Snowboard Cross,33,2.64
14,Wood Jonathon,Male,27-01-2024,Grasgehren,GER,Great Britain,Junior,Snowboard Cross,33,1.20
15,Wood Jonathon,Male,09-12-2023,Pitztal,AUT,Great Britain,Junior,Snowboard Cross,68,
16,Wood Jonathon,Male,19-03-2023,Passo San Pellegrino,ITA,Great Britain,FIS,Snowboard Cross,66,
17,Wood Jonathon,Male,18-03-2023,Passo San Pellegrino,ITA,Great Britain,FIS,Snowboard Cross,72,
18,Wood Jonathon,Male,16-03-2023,Pitztal,AUT,Great Britain,FIS,Snowboard Cross,28,
19,Wood Jonathon,Male,15-03-2023,Pitztal,AUT,Great Britain,FIS,Snowboard Cross,25,7.80
20,Wood Jonathon,Male,19-02-2023,Flumserberg,SUI,Great Britain,Junior,Snowboard Cross,35,
21,Wood Jonathon,Male,18-02-2023,Flumserberg,SUI,Great Britain,Junior,Snowboard Cross,35,
22,Wood Jonathon,Male,03-02-2023,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,25,3.00
23,Wood Jonathon,Male,14-01-2023,Lenk,SUI,Great Britain,FIS,Snowboard Cross,45,0.85
24,Wood Jonathon,Male,06-03-2022,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,16,7.50
25,Wood Jonathon,Male,05-03-2022,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,19,
26,Wood Jonathon,Male,27-02-2022,Flumserberg,SUI,Great Britain,FIS,Snowboard Cross,33,1.20
27,Wood Jonathon,Male,26-02-2022,Flumserberg,SUI,Great Britain,FIS,Snowboard Cross,37,
28,Wood Jonathon,Male,06-02-2022,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,39,
29,Wood Jonathon,Male,05-02-2022,Dolni Morava,CZE,Great Britain,Junior,Snowboard Cross,33,
