,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Xiong Shirui,Female,08-02-2025,Yabuli Ski Resort,CHN,P.r. China,Asian Winter Games,Slopestyle,2,
1,Xiong Shirui,Female,11-01-2025,Kreischberg,AUT,P.r. China,World Cup,Big Air,18,103.00
2,Xiong Shirui,Female,09-01-2025,Kreischberg,AUT,P.r. China,Qualification,Big Air,18,
3,Xiong Shirui,Female,05-01-2025,Klagenfurt,AUT,P.r. China,World Cup,Big Air,14,122.20
4,Xiong Shirui,Female,03-01-2025,Klagenfurt,AUT,P.r. China,Qualification,Big Air,14,
5,Xiong Shirui,Female,01-12-2024,Beijing,CHN,P.r. China,World Cup,Big Air,19,51.70
6,Xiong Shirui,Female,30-11-2024,Beijing,CHN,P.r. China,Qualification,Big Air,19,
7,Xiong Shirui,Female,19-10-2024,Chur,SUI,P.r. China,World Cup,Big Air,12,203.10
8,Xiong Shirui,Female,17-08-2024,The Remarkables,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,3,79.50
9,Xiong Shirui,Female,14-04-2024,Corvatsch,SUI,P.r. China,European Cup Premium,Big Air,15,63.00
10,Xiong Shirui,Female,12-04-2024,Corvatsch,SUI,P.r. China,European Cup Premium,Slopestyle,5,176.50
11,Xiong Shirui,Female,15-03-2024,Laax,SUI,P.r. China,Junior,Slopestyle,1,50.00
12,Xiong Shirui,Female,12-03-2024,Laax,SUI,P.r. China,European Cup Premium,Slopestyle,10,42.30
13,Xiong Shirui,Female,05-03-2024,Tiger Ridge Ski Resort,CHN,P.r. China,Asian Cup,Slopestyle,13,0.10
14,Xiong Shirui,Female,04-03-2024,Tiger Ridge Mountain Park,CHN,P.r. China,Asian Cup,Slopestyle,6,41.50
15,Xiong Shirui,Female,04-09-2023,Cardrona,NZL,P.r. China,FIS Junior World Championships,Big Air,13,42.30
16,Xiong Shirui,Female,02-09-2023,Cardrona,NZL,P.r. China,Qualification,Big Air,7,
17,Xiong Shirui,Female,30-08-2023,Cardrona,NZL,P.r. China,FIS Junior World Championships,Slopestyle,30,11.90
18,Xiong Shirui,Female,28-08-2023,Cardrona,NZL,P.r. China,Qualification,Slopestyle,13,
