,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Xu Xiaoxiao,Female,14-01-2022,Simonhöhe,AUT,P.r. China,World Cup,Parallel Giant Slalom,50,
1,Xu Xiaoxiao,Female,14-01-2022,Simonhöhe,AUT,P.r. China,Qualification,Parallel Giant Slalom,50,
2,Xu Xiaoxiao,Female,11-01-2022,Bad Gastein,AUT,P.r. China,Qualification,Parallel Slalom,38,
3,Xu Xiaoxiao,Female,11-01-2022,Bad Gastein,AUT,P.r. China,World Cup,Parallel Slalom,38,19.10
4,Xu Xiaoxiao,Female,08-01-2022,Scuol,SUI,P.r. China,Qualification,Parallel Giant Slalom,50,
5,Xu Xiaoxiao,Female,08-01-2022,Scuol,SUI,P.r. China,World Cup,Parallel Giant Slalom,50,
6,Xu Xiaoxiao,Female,18-12-2021,Cortina d Ampezzo,ITA,P.r. China,Qualification,Parallel Giant Slalom,52,
7,Xu Xiaoxiao,Female,18-12-2021,Cortina d Ampezzo,ITA,P.r. China,World Cup,Parallel Giant Slalom,52,
8,Xu Xiaoxiao,Female,16-12-2021,Carezza,ITA,P.r. China,Qualification,Parallel Giant Slalom,36,
9,Xu Xiaoxiao,Female,16-12-2021,Carezza,ITA,P.r. China,World Cup,Parallel Giant Slalom,36,19.70
10,Xu Xiaoxiao,Female,12-12-2021,Bannoye,RUS,P.r. China,Qualification,Parallel Slalom,35,
11,Xu Xiaoxiao,Female,12-12-2021,Bannoye,RUS,P.r. China,World Cup,Parallel Slalom,35,20.00
12,Xu Xiaoxiao,Female,11-12-2021,Bannoye,RUS,P.r. China,Qualification,Parallel Giant Slalom,37,
13,Xu Xiaoxiao,Female,11-12-2021,Bannoye,RUS,P.r. China,World Cup,Parallel Giant Slalom,37,19.40
14,Xu Xiaoxiao,Female,03-03-2020,Blue Mountain,CAN,P.r. China,Nor-Am Cup,Parallel Slalom,14,64.80
15,Xu Xiaoxiao,Female,02-03-2020,Blue Mountain,CAN,P.r. China,Nor-Am Cup,Parallel Giant Slalom,11,86.40
16,Xu Xiaoxiao,Female,01-03-2020,Blue Mountain,CAN,P.r. China,World Cup,Parallel Giant Slalom,33,24.00
17,Xu Xiaoxiao,Female,01-03-2020,Blue Mountain,CAN,P.r. China,Qualification,Parallel Giant Slalom,33,
18,Xu Xiaoxiao,Female,29-02-2020,Blue Mountain,CAN,P.r. China,World Cup,Parallel Giant Slalom,32,26.00
19,Xu Xiaoxiao,Female,29-02-2020,Blue Mountain,CAN,P.r. China,Qualification,Parallel Giant Slalom,32,
20,Xu Xiaoxiao,Female,09-02-2020,Gerlitzen,AUT,P.r. China,FIS,Giant Slalom,2,176.00
21,Xu Xiaoxiao,Female,08-02-2020,Gerlitzen,AUT,P.r. China,FIS,Giant Slalom,4,110.00
22,Xu Xiaoxiao,Female,25-01-2020,Piancavallo,ITA,P.r. China,World Cup,Parallel Slalom,34,22.00
23,Xu Xiaoxiao,Female,25-01-2020,Piancavallo,ITA,P.r. China,Qualification,Parallel Slalom,34,
24,Xu Xiaoxiao,Female,18-01-2020,Rogla,SLO,P.r. China,World Cup,Parallel Giant Slalom,37,19.40
25,Xu Xiaoxiao,Female,18-01-2020,Rogla,SLO,P.r. China,Qualification,Parallel Giant Slalom,37,
26,Xu Xiaoxiao,Female,14-01-2020,Bad Gastein,AUT,P.r. China,World Cup,Parallel Slalom,45,
27,Xu Xiaoxiao,Female,14-01-2020,Bad Gastein,AUT,P.r. China,Qualification,Parallel Slalom,45,
28,Xu Xiaoxiao,Female,11-01-2020,Scuol,SUI,P.r. China,World Cup,Parallel Giant Slalom,30,32.00
29,Xu Xiaoxiao,Female,11-01-2020,Scuol,SUI,P.r. China,Qualification,Parallel Giant Slalom,30,
30,Xu Xiaoxiao,Female,29-12-2019,Wanlong Ski Resorts,CHN,P.r. China,Asian Cup,Parallel Slalom,6,144.00
31,Xu Xiaoxiao,Female,28-12-2019,Wanlong Ski Resorts,CHN,P.r. China,Asian Cup,Parallel Giant Slalom,4,180.00
32,Xu Xiaoxiao,Female,19-12-2019,Carezza,ITA,P.r. China,Open,Parallel Giant Slalom,38,19.10
33,Xu Xiaoxiao,Female,14-12-2019,Cortina d Ampezzo,ITA,P.r. China,World Cup,Parallel Giant Slalom,37,19.40
34,Xu Xiaoxiao,Female,14-12-2019,Cortina d Ampezzo,ITA,P.r. China,Qualification,Parallel Giant Slalom,37,
35,Xu Xiaoxiao,Female,08-12-2019,Bannoye,RUS,P.r. China,World Cup,Parallel Giant Slalom,28,40.00
36,Xu Xiaoxiao,Female,08-12-2019,Bannoye,RUS,P.r. China,Qualification,Parallel Giant Slalom,28,
37,Xu Xiaoxiao,Female,07-12-2019,Bannoye,RUS,P.r. China,World Cup,Parallel Slalom,31,28.00
38,Xu Xiaoxiao,Female,07-12-2019,Bannoye,RUS,P.r. China,Qualification,Parallel Slalom,31,
39,Xu Xiaoxiao,Female,30-11-2019,Taiwoo ski resorts,CHN,P.r. China,Asian Cup,Parallel Slalom,6,128.00
