,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Yankov Radoslav,Male,05-04-2024,Bansko,BUL,Bulgaria,National Championships,Parallel Slalom,2,208.00
1,Yankov Radoslav,Male,04-04-2024,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,2,208.00
2,Yankov Radoslav,Male,17-03-2024,St. Moritz,SUI,Bulgaria,European Cup,Parallel Slalom,2,288.00
3,Yankov Radoslav,Male,16-03-2024,St. Moritz,SUI,Bulgaria,European Cup,Parallel Giant Slalom,13,72.00
4,Yankov Radoslav,Male,13-03-2024,Davos/Rinerhorn ,SUI,Bulgaria,European Cup,Parallel Giant Slalom,DNS,
5,Yankov Radoslav,Male,09-03-2024,Winterberg,GER,Bulgaria,Qualification,Parallel Slalom,20,
6,Yankov Radoslav,Male,09-03-2024,Winterberg,GER,Bulgaria,World Cup,Parallel Slalom,20,110.00
7,Yankov Radoslav,Male,25-02-2024,Krynica,POL,Bulgaria,Qualification,Parallel Giant Slalom,15,
8,Yankov Radoslav,Male,25-02-2024,Krynica,POL,Bulgaria,World Cup,Parallel Giant Slalom,15,160.00
9,Yankov Radoslav,Male,24-02-2024,Krynica,POL,Bulgaria,Qualification,Parallel Giant Slalom,16,
10,Yankov Radoslav,Male,24-02-2024,Krynica,POL,Bulgaria,World Cup,Parallel Giant Slalom,8,320.00
11,Yankov Radoslav,Male,27-01-2024,Simonhöhe,AUT,Bulgaria,Qualification,Parallel Giant Slalom,26,
12,Yankov Radoslav,Male,27-01-2024,Simonhöhe,AUT,Bulgaria,World Cup,Parallel Giant Slalom,26,50.00
13,Yankov Radoslav,Male,25-01-2024,Rogla,SLO,Bulgaria,Qualification,Parallel Giant Slalom,36,
14,Yankov Radoslav,Male,25-01-2024,Rogla,SLO,Bulgaria,World Cup,Parallel Giant Slalom,36,
15,Yankov Radoslav,Male,21-01-2024,Pamporovo,BUL,Bulgaria,Qualification,Parallel Slalom,2,
16,Yankov Radoslav,Male,21-01-2024,Pamporovo,BUL,Bulgaria,World Cup,Parallel Slalom,5,450.00
17,Yankov Radoslav,Male,20-01-2024,Pamporovo,BUL,Bulgaria,Qualification,Parallel Slalom,4,
18,Yankov Radoslav,Male,20-01-2024,Pamporovo,BUL,Bulgaria,World Cup,Parallel Slalom,3,600.00
19,Yankov Radoslav,Male,16-01-2024,Bad Gastein,AUT,Bulgaria,Qualification,Parallel Slalom,12,
