,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Yogo Ryusho,Male,05-04-2025,Cortina d Ampezzo,ITA,Japan,National Championships,Parallel Slalom,16,
1,Yogo Ryusho,Male,01-04-2025,"Copper Mountain, CO",USA,Japan,National Championships,Parallel Slalom,4,70.00
2,Yogo Ryusho,Male,31-03-2025,"Copper Mountain, CO",USA,Japan,National Championships,Parallel Giant Slalom,2,112.00
3,Yogo Ryusho,Male,23-03-2025,Gosau,AUT,Japan,FIS,Parallel Slalom,8,44.80
4,Yogo Ryusho,Male,22-03-2025,Gosau,AUT,Japan,FIS,Parallel Slalom,5,63.00
5,Yogo Ryusho,Male,16-03-2025,Davos,SUI,Japan,European Cup,Parallel Slalom,DNF,
6,Yogo Ryusho,Male,15-03-2025,Davos,SUI,Japan,European Cup,Parallel Slalom,14,39.60
7,Yogo Ryusho,Male,15-03-2025,Davos,SUI,Japan,Qualification,Parallel Slalom,14,
8,Yogo Ryusho,Male,05-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Slalom,6,72.00
9,Yogo Ryusho,Male,04-03-2025,High1resort,KOR,Japan,Asian Cup,Parallel Giant Slalom,4,90.00
10,Yogo Ryusho,Male,28-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Giant Slalom,32,4.16
11,Yogo Ryusho,Male,27-02-2025,Akan,JPN,Japan,Asian Cup,Parallel Slalom,2,128.00
12,Yogo Ryusho,Male,09-02-2025,Simonhoehe,AUT,Japan,National Championships,Parallel Slalom,21,29.00
13,Yogo Ryusho,Male,08-02-2025,Simonhoehe,AUT,Japan,National Championships,Parallel Giant Slalom,17,40.60
14,Yogo Ryusho,Male,02-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,22,23.40
15,Yogo Ryusho,Male,02-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,22,
16,Yogo Ryusho,Male,01-02-2025,Ratschings,ITA,Japan,Qualification,Parallel Slalom,18,
17,Yogo Ryusho,Male,01-02-2025,Ratschings,ITA,Japan,European Cup,Parallel Slalom,18,37.70
18,Yogo Ryusho,Male,26-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,44,5.54
19,Yogo Ryusho,Male,25-01-2025,Simonhöhe,AUT,Japan,European Cup,Parallel Giant Slalom,19,21.60
