,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Yucedal Efe,Male,05-04-2024,Bansko,BUL,Türkiye,National Championships,Parallel Slalom,DNF,
1,Yucedal Efe,Male,04-04-2024,Bansko,BUL,Türkiye,National Championships,Parallel Giant Slalom,22,23.40
2,Yucedal Efe,Male,18-03-2024,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Slalom,2,40.00
3,Yucedal Efe,Male,17-03-2024,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Giant Slalom,2,40.00
4,Yucedal Efe,Male,28-01-2024,Nova Levante - Welschnofen,ITA,Türkiye,FIS,Parallel Giant Slalom,35,3.20
5,Yucedal Efe,Male,27-01-2024,Nova Levante - Welschnofen,ITA,Türkiye,FIS,Parallel Giant Slalom,26,6.50
6,Yucedal Efe,Male,26-03-2023,Villach - Gerlitzen,AUT,Türkiye,FIS,Parallel Slalom,15,35.20
7,Yucedal Efe,Male,25-03-2023,Villach - Gerlitzen,AUT,Türkiye,FIS,Parallel Slalom,17,30.80
8,Yucedal Efe,Male,13-03-2022,Palandoken / Erzurum,TUR,Türkiye,FIS,Parallel Slalom,10,18.20
9,Yucedal Efe,Male,12-03-2022,Palandoken / Erzurum,TUR,Türkiye,FIS,Parallel Giant Slalom,7,25.20
10,Yucedal Efe,Male,21-02-2021,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Slalom,6,20.00
11,Yucedal Efe,Male,20-02-2021,Kayseri / Erciyes,TUR,Türkiye,FIS,Parallel Slalom,6,20.00
