,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Zhang Jiahao,Male,19-11-2021,Landgraaf,NED,P.r. China,European Cup,Slopestyle,50,4.20
1,Zhang Jiahao,Male,18-11-2021,Landgraaf,NED,P.r. China,FIS,Slopestyle,54,14.60
2,Zhang Jiahao,Male,11-11-2021,Glacier 3000,SUI,P.r. China,Open,Slopestyle,28,17.70
3,Zhang Jiahao,Male,10-09-2021,La Parva,CHI,P.r. China,National Junior Championships,Big Air,3,29.90
4,Zhang Jiahao,Male,10-09-2021,La Parva,CHI,P.r. China,National Championships,Big Air,1,50.00
5,Zhang Jiahao,Male,08-09-2021,La Parva,CHI,P.r. China,National Junior Championships,Slopestyle,2,39.00
6,Zhang Jiahao,Male,07-09-2021,La Parva,CHI,P.r. China,National Championships,Slopestyle,3,29.90
7,Zhang Jiahao,Male,11-04-2021,Funaesdalen,SWE,P.r. China,FIS,Slopestyle,5,21.52
8,Zhang Jiahao,Male,21-03-2021,Klaeppen,SWE,P.r. China,National Championships,Big Air,6,9.71
9,Zhang Jiahao,Male,20-03-2021,Klaeppen,SWE,P.r. China,National Championships,Slopestyle,11,5.82
10,Zhang Jiahao,Male,14-03-2021,Jarvsoe,SWE,P.r. China,FIS,Slopestyle,11,13.46
11,Zhang Jiahao,Male,25-02-2020,Mount St-Louis Moonstone,CAN,P.r. China,Nor-Am Cup,Slopestyle,31,5.60
12,Zhang Jiahao,Male,24-02-2020,Mount St-Louis Moonstone,CAN,P.r. China,Nor-Am Cup,Slopestyle,39,3.76
13,Zhang Jiahao,Male,16-01-2020,Sun Peaks,CAN,P.r. China,Nor-Am Cup,Big Air,26,8.00
14,Zhang Jiahao,Male,15-01-2020,Sun Peaks,CAN,P.r. China,Nor-Am Cup,Slopestyle,30,5.12
15,Zhang Jiahao,Male,15-08-2018,Cardrona,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,14,28.80
16,Zhang Jiahao,Male,17-08-2017,Cardrona,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,DNS,
17,Zhang Jiahao,Male,14-09-2016,Cardrona,NZL,P.r. China,Australian New Zealand Cup,Slopestyle,15,25.60
