,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Zografos Georgios,Male,09-03-2025,Kalavrita,GRE,Greece,National Championships,Big Air,2,
1,Zografos Georgios,Male,08-03-2025,Kalavrita,GRE,Greece,National Championships,Slopestyle,5,
2,Zografos Georgios,Male,26-01-2025,Anilio,GRE,Greece,National Championships,Rail Event,3,34.10
3,Zografos Georgios,Male,25-01-2025,Anilio,GRE,Greece,FIS,Slopestyle,16,6.70
4,Zografos Georgios,Male,05-10-2024,SnowWorld Landgraaf,NED,Greece,FIS,Rail Event,24,1.10
5,Zografos Georgios,Male,04-10-2024,SnowWorld Landgraaf,NED,Greece,FIS,Slopestyle,29,3.10
6,Zografos Georgios,Male,03-10-2024,SnowWorld Landgraaf,NED,Greece,FIS,Slopestyle,30,3.00
7,Zografos Georgios,Male,01-03-2024,Kopaonik,SRB,Greece,FIS,Big Air,8,14.80
8,Zografos Georgios,Male,29-02-2024,Kopaonik,SRB,Greece,FIS,Slopestyle,5,23.70
9,Zografos Georgios,Male,13-10-2023,SnowWorld Landgraaf,NED,Greece,FIS,Slopestyle,33,1.80
10,Zografos Georgios,Male,12-10-2023,SnowWorld Landgraaf,NED,Greece,FIS,Slopestyle,33,1.80
