,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Zografou Margarita,Female,26-01-2025,Anilio,GRE,Greece,National Championships,Rail Event,2,40.20
1,Zografou Margarita,Female,25-01-2025,Anilio,GRE,Greece,FIS,Slopestyle,2,38.30
2,Zografou Margarita,Female,05-10-2024,SnowWorld Landgraaf,NED,Greece,FIS,Rail Event,15,1.20
3,Zografou Margarita,Female,04-10-2024,SnowWorld Landgraaf,NED,Greece,FIS,Slopestyle,12,9.00
4,Zografou Margarita,Female,03-10-2024,SnowWorld Landgraaf,NED,Greece,FIS,Slopestyle,13,7.60
5,Zografou Margarita,Female,08-03-2024,Voras,GRE,Greece,National Championships,Big Air,2,38.30
6,Zografou Margarita,Female,07-03-2024,Voras,GRE,Greece,FIS,Slopestyle,2,39.00
7,Zografou Margarita,Female,01-03-2024,Kopaonik,SRB,Greece,FIS,Big Air,2,40.40
8,Zografou Margarita,Female,29-02-2024,Kopaonik,SRB,Greece,FIS,Slopestyle,2,40.20
9,Zografou Margarita,Female,28-02-2024,Vorras,GRE,Greece,National Championships,Slalom,1,50.00
10,Zografou Margarita,Female,27-02-2024,Vorras,GRE,Greece,National Championships,Giant Slalom,1,50.00
11,Zografou Margarita,Female,27-02-2024,Vorras,GRE,Greece,FIS,Giant Slalom,1,50.00
12,Zografou Margarita,Female,19-03-2023,Kalavrita,GRE,Greece,FIS,Big Air,DNS,
13,Zografou Margarita,Female,18-03-2023,Kalavrita,GRE,Greece,FIS,Slopestyle,5,19.10
14,Zografou Margarita,Female,10-02-2023,Popova Sapka,MKD,Greece,FIS,Slopestyle,5,12.50
15,Zografou Margarita,Female,09-02-2023,Popova Sapka,MKD,Greece,National Championships,Slopestyle,5,12.50
16,Zografou Margarita,Female,29-01-2023,Anilio,GRE,Greece,FIS,Big Air,2,37.10
17,Zografou Margarita,Female,28-01-2023,Anilio,GRE,Greece,National Championships,Slopestyle,4,19.90
18,Zografou Margarita,Female,09-04-2022,PARNASSOS,GRE,Greece,National Championships,Big Air,1,10.00
19,Zografou Margarita,Female,08-04-2022,PARNASSOS,GRE,Greece,FIS,Slopestyle,2,4.90
20,Zografou Margarita,Female,30-01-2022,Anilio,GRE,Greece,FIS,Slopestyle,2,38.30
21,Zografou Margarita,Female,29-01-2022,Anilio,GRE,Greece,National Championships,Slopestyle,2,38.30
