,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Zvara Zak,Male,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,23,28.80
1,Zvara Zak,Male,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,20,39.60
2,Zvara Zak,Male,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,20,39.60
3,Zvara Zak,Male,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,18,6.50
4,Zvara Zak,Male,28-01-2024,Grasgehren,GER,Australia,Junior,Snowboard Cross,17,15.40
5,Zvara Zak,Male,27-01-2024,Grasgehren,GER,Australia,Junior,Snowboard Cross,32,1.30
6,Zvara Zak,Male,18-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,DNS,
7,Zvara Zak,Male,17-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,33,
8,Zvara Zak,Male,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,17,9.80
9,Zvara Zak,Male,08-02-2023,Cervinia,ITA,Australia,Junior,Snowboard Cross,33,3.12
10,Zvara Zak,Male,07-02-2023,Cervinia,ITA,Australia,Junior,Snowboard Cross,39,2.44
11,Zvara Zak,Male,14-01-2023,Lenk,SUI,Australia,FIS,Snowboard Cross,45,0.85
12,Zvara Zak,Male,27-11-2022,Pitztal,AUT,Australia,Junior,Snowboard Cross,80,1.04
13,Zvara Zak,Male,26-11-2022,Pitztal,AUT,Australia,Junior,Snowboard Cross,88,
14,Zvara Zak,Male,25-11-2022,Pitztal,AUT,Australia,FIS,Snowboard Cross,65,2.42
15,Zvara Zak,Male,12-09-2022,Perisher,AUS,Australia,Junior,Snowboard Cross,17,7.00
16,Zvara Zak,Male,03-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,36,
17,Zvara Zak,Male,02-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,25,15.60
18,Zvara Zak,Male,01-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,25,15.60
19,Zvara Zak,Male,31-08-2022,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,17,7.00
20,Zvara Zak,Male,14-08-2022,Mt Buller,AUS,Australia,Junior,Snowboard Cross,16,7.50
