,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Zvireci Jana,Female,23-03-2024,Lachtal,AUT,Czechia,Qualification,Parallel Slalom,29,
1,Zvireci Jana,Female,23-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Slalom,29,8.64
2,Zvireci Jana,Female,22-03-2024,Lachtal,AUT,Czechia,Qualification,Parallel Giant Slalom,26,
3,Zvireci Jana,Female,22-03-2024,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Giant Slalom,26,12.00
4,Zvireci Jana,Female,17-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,4,45.00
5,Zvireci Jana,Female,24-02-2024,Alleghe,ITA,Czechia,Junior,Parallel Giant Slalom,9,40.60
6,Zvireci Jana,Female,10-02-2024,Hochficht/Zwiesel,AUT,Czechia,National Championships,Parallel Slalom,19,34.80
7,Zvireci Jana,Female,09-02-2024,Hochficht/Zwiesel,AUT,Czechia,National Championships,Parallel Giant Slalom,17,40.60
8,Zvireci Jana,Female,04-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,17,19.60
9,Zvireci Jana,Female,03-02-2024,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,13,28.00
10,Zvireci Jana,Female,07-01-2024,Dolni Morava,CZE,Czechia,National Junior Championships,Parallel Giant Slalom,1,50.00
11,Zvireci Jana,Female,06-01-2024,Dolni Morava,CZE,Czechia,National Junior Championships,Parallel Slalom,2,40.00
12,Zvireci Jana,Female,22-12-2023,Moninec,CZE,Czechia,Junior,Parallel Slalom,7,25.20
13,Zvireci Jana,Female,20-12-2023,Moninec,CZE,Czechia,European Cup,Parallel Slalom,37,5.04
14,Zvireci Jana,Female,10-12-2023,Götschen,GER,Czechia,Junior,Parallel Slalom,26,8.00
15,Zvireci Jana,Female,09-12-2023,Götschen,GER,Czechia,European Cup,Parallel Slalom,55,
16,Zvireci Jana,Female,09-12-2023,Götschen,GER,Czechia,Qualification,Parallel Slalom,55,
17,Zvireci Jana,Female,08-12-2023,Götschen,GER,Czechia,Qualification,Parallel Slalom,54,
18,Zvireci Jana,Female,08-12-2023,Götschen,GER,Czechia,European Cup,Parallel Slalom,54,5.15
19,Zvireci Jana,Female,25-03-2023,Bansko,BUL,Czechia,FIS Junior World Championships,Parallel Slalom,32,9.36
20,Zvireci Jana,Female,25-03-2023,Bansko,BUL,Czechia,Qualification,Parallel Slalom,32,
21,Zvireci Jana,Female,24-03-2023,Bansko,BUL,Czechia,Qualification,Parallel Giant Slalom,15,
22,Zvireci Jana,Female,24-03-2023,Bansko,BUL,Czechia,FIS Junior World Championships,Parallel Giant Slalom,15,57.60
23,Zvireci Jana,Female,12-03-2023,ORTISEI,ITA,Czechia,FIS,Giant Slalom,DNS1,
24,Zvireci Jana,Female,11-03-2023,ORTISEI,ITA,Czechia,FIS,Giant Slalom,DNS1,
25,Zvireci Jana,Female,05-03-2023,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Slalom,7,46.80
26,Zvireci Jana,Female,04-03-2023,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Giant Slalom,3,78.00
27,Zvireci Jana,Female,03-03-2023,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Giant Slalom,4,65.00
28,Zvireci Jana,Female,27-02-2023,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,DSQ,
29,Zvireci Jana,Female,26-02-2023,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,9,46.40
30,Zvireci Jana,Female,25-02-2023,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,9,46.40
31,Zvireci Jana,Female,05-02-2023,Gosau,AUT,Czechia,FIS,Slalom,10,23.40
32,Zvireci Jana,Female,04-02-2023,Gosau,AUT,Czechia,FIS,Slalom,6,36.00
33,Zvireci Jana,Female,04-02-2023,Gosau,AUT,Czechia,FIS,Slalom,7,32.40
34,Zvireci Jana,Female,29-01-2023,Simonhöhe,AUT,Czechia,Qualification,Parallel Giant Slalom,33,
35,Zvireci Jana,Female,29-01-2023,Simonhöhe,AUT,Czechia,European Cup,Parallel Giant Slalom,33,5.76
36,Zvireci Jana,Female,28-01-2023,Simonhöhe,AUT,Czechia,Qualification,Parallel Giant Slalom,29,
37,Zvireci Jana,Female,28-01-2023,Simonhöhe,AUT,Czechia,European Cup,Parallel Giant Slalom,29,8.64
38,Zvireci Jana,Female,08-01-2023,Haus im Ennstal,AUT,Czechia,Junior,Giant Slalom,10,31.20
39,Zvireci Jana,Female,07-01-2023,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,7,46.80
40,Zvireci Jana,Female,04-01-2023,SUCHE/Zakopane,POL,Czechia,National Championships,Parallel Giant Slalom,12,63.80
41,Zvireci Jana,Female,18-12-2022,Hochfügen,GER,Czechia,Qualification,Parallel Giant Slalom,21,
42,Zvireci Jana,Female,18-12-2022,Hochfügen,GER,Czechia,European Cup,Parallel Giant Slalom,21,20.00
43,Zvireci Jana,Female,17-12-2022,Hochfügen,GER,Czechia,European Cup,Parallel Giant Slalom,18,26.00
44,Zvireci Jana,Female,01-04-2022,Chiesa in Valmalenco,ITA,Czechia,FIS Junior World Championships,Parallel Slalom,44,
45,Zvireci Jana,Female,31-03-2022,Chiesa in Valmalenco,ITA,Czechia,FIS Junior World Championships,Parallel Giant Slalom,20,39.60
46,Zvireci Jana,Female,20-03-2022,Senales - Schnals,ITA,Czechia,Junior,Parallel Slalom,20,
47,Zvireci Jana,Female,19-03-2022,Senales - Schnals,ITA,Czechia,Junior,Parallel Slalom,12,30.80
48,Zvireci Jana,Female,17-03-2022,Rogla,SLO,Czechia,European Cup,Parallel Giant Slalom,27,16.20
49,Zvireci Jana,Female,13-03-2022,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Slalom,4,60.00
50,Zvireci Jana,Female,12-03-2022,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Giant Slalom,4,60.00
51,Zvireci Jana,Female,06-03-2022,Lachtal,AUT,Czechia,European Cup,Parallel Giant Slalom,31,10.08
52,Zvireci Jana,Female,05-03-2022,Lachtal,AUT,Czechia,European Cup,Parallel Giant Slalom,45,
53,Zvireci Jana,Female,27-02-2022,Simonhöhe,AUT,Czechia,FIS,Parallel Giant Slalom,18,23.40
54,Zvireci Jana,Female,26-02-2022,Simonhöhe,AUT,Czechia,FIS,Parallel Giant Slalom,12,39.60
55,Zvireci Jana,Female,20-02-2022,Bozi Dar - Neklid,CZE,Czechia,FIS,Parallel Slalom,2,80.00
56,Zvireci Jana,Female,19-02-2022,Bozi Dar - Neklid,CZE,Czechia,FIS,Parallel Slalom,5,45.00
57,Zvireci Jana,Female,06-02-2022,Lenzerheide,SUI,Czechia,European Cup,Parallel Slalom,DNF,
58,Zvireci Jana,Female,05-02-2022,Lenzerheide,SUI,Czechia,European Cup,Parallel Slalom,19,31.20
59,Zvireci Jana,Female,23-01-2022,Bukovel,UKR,Czechia,European Cup,Parallel Giant Slalom,25,15.60
60,Zvireci Jana,Female,22-01-2022,Bukovel,UKR,Czechia,European Cup,Parallel Giant Slalom,25,15.60
61,Zvireci Jana,Female,20-01-2022,Bukovel,UKR,Czechia,National Championships,Parallel Slalom,16,33.00
62,Zvireci Jana,Female,19-01-2022,Bukovel,UKR,Czechia,National Championships,Parallel Giant Slalom,18,28.60
63,Zvireci Jana,Female,16-01-2022,Dolni Morava,CZE,Czechia,Junior,Parallel Giant Slalom,3,30.00
64,Zvireci Jana,Female,15-01-2022,Dolni Morava,CZE,Czechia,Junior,Parallel Giant Slalom,4,45.00
65,Zvireci Jana,Female,09-01-2022,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,5,58.50
66,Zvireci Jana,Female,08-01-2022,Haus im Ennstal,AUT,Czechia,Junior,Parallel Giant Slalom,11,31.20
67,Zvireci Jana,Female,23-12-2021,Zakopane/Bukowina Tatrzanska,POL,Czechia,Junior,Parallel Slalom,DNS,
68,Zvireci Jana,Female,23-12-2021,Zakopane/Bukowina Tatrzanska,POL,Czechia,Junior,Slalom,DNS,
69,Zvireci Jana,Female,23-12-2021,Zakopane/Bukowina Tatrzanska,POL,Czechia,Junior,Parallel Slalom,DNS,
70,Zvireci Jana,Female,21-12-2021,Moninec,CZE,Czechia,FIS,Parallel Slalom,16,27.00
71,Zvireci Jana,Female,20-12-2021,Moninec,CZE,Czechia,FIS,Parallel Slalom,18,23.40
72,Zvireci Jana,Female,19-12-2021,Moninec,CZE,Czechia,European Cup,Parallel Slalom,42,
73,Zvireci Jana,Female,18-12-2021,Moninec,CZE,Czechia,European Cup,Parallel Slalom,16,30.00
74,Zvireci Jana,Female,12-12-2021,Götschen,GER,Czechia,European Cup,Parallel Slalom,27,9.00
75,Zvireci Jana,Female,11-12-2021,Götschen,GER,Czechia,European Cup,Parallel Slalom,23,16.00
76,Zvireci Jana,Female,26-03-2021,Krasnoyarsk ,RUS,Czechia,FIS Junior World Championships,Parallel Slalom,26,18.00
77,Zvireci Jana,Female,25-03-2021,Krasnoyarsk ,RUS,Czechia,Qualification,Parallel Giant Slalom,22,
78,Zvireci Jana,Female,25-03-2021,Krasnoyarsk ,RUS,Czechia,FIS Junior World Championships,Parallel Giant Slalom,22,32.40
79,Zvireci Jana,Female,09-03-2021,SUCHE/Zakopane,POL,Czechia,National Championships,Parallel Slalom,16,39.00
80,Zvireci Jana,Female,08-03-2021,SUCHE/Zakopane,POL,Czechia,National Championships,Parallel Giant Slalom,25,15.60
81,Zvireci Jana,Female,07-03-2021,Simonhöhe,AUT,Czechia,Junior,Parallel Giant Slalom,12,39.60
82,Zvireci Jana,Female,06-03-2021,Simonhöhe,AUT,Czechia,Junior,Parallel Giant Slalom,14,28.80
83,Zvireci Jana,Female,21-02-2021,Gerlitzen,AUT,Czechia,National Championships,Parallel Slalom,35,5.80
84,Zvireci Jana,Female,20-02-2021,Gerlitzen,AUT,Czechia,National Championships,Parallel Giant Slalom,34,6.38
85,Zvireci Jana,Female,07-02-2021,Gosau,AUT,Czechia,FIS,Parallel Slalom,13,14.00
86,Zvireci Jana,Female,06-02-2021,Gosau,AUT,Czechia,FIS,Parallel Slalom,16,10.50
87,Zvireci Jana,Female,20-12-2020,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Giant Slalom,26,18.00
88,Zvireci Jana,Female,19-12-2020,Lachtal,AUT,Czechia,FIS Junior World Championships,Parallel Slalom,32,
89,Zvireci Jana,Female,01-03-2020,Pec pod Snezkou,CZE,Czechia,FIS,Parallel Slalom,11,12.00
90,Zvireci Jana,Female,29-02-2020,Pec pod Snezkou,CZE,Czechia,FIS,Parallel Giant Slalom,10,23.40
91,Zvireci Jana,Female,16-02-2020,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,13,14.00
92,Zvireci Jana,Female,15-02-2020,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,4,35.00
