Date,Location,Country,Category,Discipline,Gender
2023-12-08,Götschen,GER,QUA,Parallel Slalom,Male
2023-12-08,Götschen,GER,QUA,Parallel Slalom,Female
2023-12-08,Götschen,GER,EC,Parallel Slalom,Male
2023-12-08,Götschen,GER,EC,Parallel Slalom,Female
2023-12-09,Götschen,GER,QUA,Parallel Slalom,Male
2023-12-09,Götschen,GER,QUA,Parallel Slalom,Female
2023-12-09,Götschen,GER,EC,Parallel Slalom,Male
2023-12-09,Götschen,GER,EC,Parallel Slalom,Female
2023-12-10,Götschen,GER,JUN,Parallel Slalom,Male
2023-12-10,Götschen,GER,JUN,Parallel Slalom,Female
2023-12-14,Carezza,ITA,QUA,Parallel Giant Slalom,Female
2023-12-14,Carezza,ITA,QUA,Parallel Giant Slalom,Male
2023-12-14,Carezza,ITA,WC,Parallel Giant Slalom,Female
2023-12-14,Carezza,ITA,WC,Parallel Giant Slalom,Male
2023-12-16,Cortina,'Ampezz,QUA,Parallel Giant Slalom,Female
2023-12-16,Cortina,'Ampezz,QUA,Parallel Giant Slalom,Male
2023-12-16,Cortina,'Ampezz,WC,Parallel Giant Slalom,Female
2023-12-16,Cortina,'Ampezz,WC,Parallel Giant Slalom,Male
2023-12-19,Moninec,CZE,EC,Parallel Slalom,Male
2023-12-19,Moninec,CZE,EC,Parallel Slalom,Female
2023-12-20,Moninec,CZE,EC,Parallel Slalom,Male
2023-12-20,Moninec,CZE,EC,Parallel Slalom,Female
2023-12-21,Moninec,CZE,FIS,Parallel Slalom,Male
2023-12-21,Moninec,CZE,JUN,Parallel Slalom,Male
2023-12-21,Moninec,CZE,FIS,Parallel Slalom,Female
2023-12-21,Moninec,CZE,JUN,Parallel Slalom,Female
2023-12-22,Moninec,CZE,FIS,Parallel Slalom,Male
2023-12-22,Moninec,CZE,JUN,Parallel Slalom,Male
2023-12-22,Moninec,CZE,FIS,Parallel Slalom,Female
2023-12-22,Moninec,CZE,JUN,Parallel Slalom,Female
2023-12-23,Davos,SUI,QUA,Parallel Slalom,Female
2023-12-23,Davos,SUI,QUA,Parallel Slalom,Male
2023-12-23,Davos,SUI,WC,Parallel Slalom,Female
2023-12-23,Davos,SUI,WC,Parallel Slalom,Male
2024-01-04,Afton,lp,NAC,Parallel Slalom,Male
2024-01-04,Afton,lp,NAC,Parallel Slalom,Female
2024-01-05,Afton,lp,NAC,Parallel Slalom,Male
2024-01-05,Afton,lp,NAC,Parallel Slalom,Female
2024-01-05,Afton,lp,FIS,Parallel Slalom,Male
2024-01-05,Afton,lp,FIS,Parallel Slalom,Female
2024-01-05,Simonhöhe,AUT,JUN,Parallel Giant Slalom,Male
2024-01-05,Simonhöhe,AUT,JUN,Parallel Giant Slalom,Female
2024-01-06,Dolni,orav,NC,Parallel Slalom,Male
2024-01-06,Dolni,orav,NC,Parallel Slalom,Female
2024-01-06,Dolni,orav,NJC,Parallel Slalom,Male
2024-01-06,Dolni,orav,NJC,Parallel Slalom,Female
2024-01-07,Dolni,orav,NC,Parallel Giant Slalom,Male
2024-01-07,Dolni,orav,NC,Parallel Giant Slalom,Female
2024-01-07,Dolni,orav,NJC,Parallel Giant Slalom,Male
2024-01-07,Dolni,orav,NJC,Parallel Giant Slalom,Female
2024-01-10,Steamboat,k,FIS,Giant Slalom,Male
2024-01-10,Steamboat,k,FIS,Giant Slalom,Female
2024-01-11,Steamboat,k,NAC,Parallel Giant Slalom,Male
2024-01-11,Steamboat,k,NAC,Parallel Giant Slalom,Female
2024-01-12,Steamboat,k,NAC,Parallel Slalom,Male
2024-01-12,Steamboat,k,NAC,Parallel Slalom,Female
2024-01-11,Folgaria,ITA,EC,Parallel Slalom,Male
2024-01-11,Folgaria,ITA,EC,Parallel Slalom,Female
2024-01-11,Folgaria,ITA,QUA,Parallel Slalom,Male
2024-01-11,Folgaria,ITA,QUA,Parallel Slalom,Female
2024-01-12,Folgaria,ITA,EC,Parallel Slalom,Male
2024-01-12,Folgaria,ITA,EC,Parallel Slalom,Female
2024-01-12,Folgaria,ITA,QUA,Parallel Slalom,Male
2024-01-12,Folgaria,ITA,QUA,Parallel Slalom,Female
2024-01-13,Scuol,SUI,QUA,Parallel Giant Slalom,Female
2024-01-13,Scuol,SUI,QUA,Parallel Giant Slalom,Male
2024-01-13,Scuol,SUI,WC,Parallel Giant Slalom,Female
2024-01-13,Scuol,SUI,WC,Parallel Giant Slalom,Male
2024-01-13,Gosau,AUT,FIS,Parallel Slalom,Male
2024-01-13,Gosau,AUT,FIS,Parallel Slalom,Female
2024-01-14,Gosau,AUT,FIS,Parallel Slalom,Male
2024-01-14,Gosau,AUT,FIS,Parallel Slalom,Female
2024-01-16,Bad,astei,QUA,Parallel Slalom,Female
2024-01-16,Bad,astei,QUA,Parallel Slalom,Male
2024-01-16,Bad,astei,WC,Parallel Slalom,Female
2024-01-16,Bad,astei,WC,Parallel Slalom,Male
2024-01-17,Bad,astei,WC,Parallel Slalom Team,Female
2024-01-18,Kopaonik,SRB,FIS,Giant Slalom,Male
2024-01-18,Kopaonik,SRB,FIS,Giant Slalom,Female
2024-01-19,Kopaonik,SRB,FIS,Slalom,Male
2024-01-19,Kopaonik,SRB,FIS,Slalom,Female
2024-01-20,Kopaonik,SRB,FIS,Big Air,Male
2024-01-20,Kopaonik,SRB,FIS,Big Air,Female
2024-01-21,Kopaonik,SRB,FIS,Slopestyle,Male
2024-01-21,Kopaonik,SRB,FIS,Slopestyle,Female
2024-01-20,Pamporovo,BUL,QUA,Parallel Slalom,Female
2024-01-20,Pamporovo,BUL,QUA,Parallel Slalom,Male
2024-01-20,Pamporovo,BUL,WC,Parallel Slalom,Female
2024-01-20,Pamporovo,BUL,WC,Parallel Slalom,Male
2024-01-21,Pamporovo,BUL,QUA,Parallel Slalom,Female
2024-01-21,Pamporovo,BUL,QUA,Parallel Slalom,Male
2024-01-21,Pamporovo,BUL,WC,Parallel Slalom,Female
2024-01-21,Pamporovo,BUL,WC,Parallel Slalom,Male
2024-01-23,Pamporovo,BUL,EC,Parallel Slalom,Male
2024-01-23,Pamporovo,BUL,EC,Parallel Slalom,Female
2024-01-24,Pamporovo,BUL,EC,Parallel Slalom,Male
2024-01-24,Pamporovo,BUL,EC,Parallel Slalom,Female
2024-01-25,Rogla,SLO,QUA,Parallel Giant Slalom,Female
2024-01-25,Rogla,SLO,QUA,Parallel Giant Slalom,Male
2024-01-25,Rogla,SLO,WC,Parallel Giant Slalom,Female
2024-01-25,Rogla,SLO,WC,Parallel Giant Slalom,Male
2024-01-26,Mzaar,k,FIS,Giant Slalom,Male
2024-01-26,Mzaar,k,FIS,Giant Slalom,Female
2024-01-27,Mzaar,k,FIS,Giant Slalom,Male
2024-01-27,Mzaar,k,FIS,Giant Slalom,Female
2024-01-27,Horseshoe,esor,FIS,Parallel Slalom,Male
2024-01-27,Horseshoe,esor,FIS,Parallel Slalom,Female
2024-01-27,Simonhöhe,AUT,QUA,Parallel Giant Slalom,Female
2024-01-27,Simonhöhe,AUT,QUA,Parallel Giant Slalom,Male
2024-01-27,Simonhöhe,AUT,WC,Parallel Giant Slalom,Female
2024-01-27,Simonhöhe,AUT,WC,Parallel Giant Slalom,Male
2024-01-28,Simonhöhe,AUT,WC,Parallel Giant Slalom Team,Female
2024-01-27,Nova,evant,FIS,Parallel Giant Slalom,Male
2024-01-27,Nova,evant,FIS,Parallel Giant Slalom,Female
2024-01-28,Nova,evant,FIS,Parallel Giant Slalom,Male
2024-01-28,Nova,evant,FIS,Parallel Giant Slalom,Female
2024-02-01,High1resort,KOR,FIS,Parallel Giant Slalom,Male
2024-02-01,High1resort,KOR,FIS,Parallel Giant Slalom,Female
2024-02-02,High1resort,KOR,FIS,Parallel Slalom,Male
2024-02-02,High1resort,KOR,FIS,Parallel Slalom,Female
2024-02-03,Haus,,JUN,Parallel Giant Slalom,Male
2024-02-03,Haus,,JUN,Parallel Giant Slalom,Female
2024-02-04,Haus,,JUN,Parallel Giant Slalom,Male
2024-02-04,Haus,,JUN,Parallel Giant Slalom,Female
2024-02-05,Val,ain,NAC,Parallel Giant Slalom,Male
2024-02-05,Val,ain,NAC,Parallel Giant Slalom,Female
2024-02-06,Val,ain,NAC,Parallel Giant Slalom,Male
2024-02-06,Val,ain,NAC,Parallel Giant Slalom,Female
2024-02-07,Val,ain,FIS,Parallel Giant Slalom,Male
2024-02-07,Val,ain,FIS,Parallel Giant Slalom,Female
2024-02-08,Funes,,NC,Parallel Giant Slalom,Male
2024-02-08,Funes,,NC,Parallel Giant Slalom,Female
2024-02-09,Funes,,NC,Parallel Slalom,Male
2024-02-09,Funes,,NC,Parallel Slalom,Female
2024-02-09,Alpine,k,NAC,Parallel Slalom,Male
2024-02-09,Alpine,k,NAC,Parallel Slalom,Female
2024-02-10,Alpine,k,NAC,Parallel Giant Slalom,Male
2024-02-10,Alpine,k,NAC,Parallel Giant Slalom,Female
2024-02-09,Hochficht/zwiesel,AUT,NC,Parallel Giant Slalom,Male
2024-02-09,Hochficht/zwiesel,AUT,NC,Parallel Giant Slalom,Female
2024-02-10,Hochficht/zwiesel,AUT,NC,Parallel Slalom,Male
2024-02-10,Hochficht/zwiesel,AUT,NC,Parallel Slalom,Female
2024-02-13,Bukovel,UKR,NC,Parallel Giant Slalom,Male
2024-02-13,Bukovel,UKR,NC,Parallel Giant Slalom,Female
2024-02-14,Bukovel,UKR,NC,Parallel Slalom,Male
2024-02-14,Bukovel,UKR,NC,Parallel Slalom,Female
2024-02-15,Craigleith,CAN,WC,Parallel Giant Slalom,Male
2024-02-15,Craigleith,CAN,WC,Parallel Giant Slalom,Female
2024-02-15,Craigleith,CAN,QUA,Parallel Giant Slalom,Male
2024-02-15,Craigleith,CAN,QUA,Parallel Giant Slalom,Female
2024-02-16,Craigleith,CAN,WC,Parallel Giant Slalom,Female
2024-02-16,Cedars,k,FIS,Giant Slalom,Male
2024-02-16,Cedars,k,NC,Giant Slalom,Male
2024-02-16,Cedars,k,FIS,Giant Slalom,Female
2024-02-16,Cedars,k,NC,Giant Slalom,Female
2024-02-18,Cedars,k,FIS,Giant Slalom,Male
2024-02-18,Cedars,k,FIS,Giant Slalom,Female
2024-02-20,Shemshak,IRI,FIS,Slalom,Male
2024-02-20,Shemshak,IRI,FIS,Slalom,Female
2024-02-21,Shemshak,IRI,FIS,Slalom,Male
2024-02-21,Shemshak,IRI,FIS,Slalom,Female
2024-02-24,Krynica,POL,QUA,Parallel Giant Slalom,Female
2024-02-24,Krynica,POL,QUA,Parallel Giant Slalom,Male
2024-02-24,Krynica,POL,WC,Parallel Giant Slalom,Female
2024-02-24,Krynica,POL,WC,Parallel Giant Slalom,Male
2024-02-25,Krynica,POL,QUA,Parallel Giant Slalom,Female
2024-02-25,Krynica,POL,QUA,Parallel Giant Slalom,Male
2024-02-25,Krynica,POL,WC,Parallel Giant Slalom,Female
2024-02-25,Krynica,POL,WC,Parallel Giant Slalom,Male
2024-02-24,Stara,lanin,FIS,Slalom,Male
2024-02-24,Stara,lanin,FIS,Slalom,Female
2024-02-25,Stara,lanin,FIS,Giant Slalom,Male
2024-02-25,Stara,lanin,FIS,Giant Slalom,Female
2024-02-24,Stara,lanin,NC,Slalom,Male
2024-02-24,Stara,lanin,NC,Slalom,Female
2024-02-24,Stara,lanin,CHI,Slalom,Male
2024-02-24,Stara,lanin,CHI,Slalom,Female
2024-02-25,Stara,lanin,NC,Giant Slalom,Male
2024-02-25,Stara,lanin,NC,Giant Slalom,Female
2024-02-25,Stara,lanin,CHI,Giant Slalom,Male
2024-02-25,Stara,lanin,CHI,Giant Slalom,Female
2024-02-24,Alleghe,ITA,JUN,Parallel Giant Slalom,Male
2024-02-24,Alleghe,ITA,JUN,Parallel Giant Slalom,Female
2024-02-25,Alleghe,ITA,JUN,Parallel Giant Slalom,Male
2024-02-25,Alleghe,ITA,JUN,Parallel Giant Slalom,Female
2024-02-26,Holiday,alle,NAC,Parallel Giant Slalom,Male
2024-02-26,Holiday,alle,NAC,Parallel Giant Slalom,Female
2024-02-27,Holiday,alle,NAC,Parallel Giant Slalom,Male
2024-02-27,Holiday,alle,NAC,Parallel Giant Slalom,Female
2024-02-27,Vorras,GRE,FIS,Giant Slalom,Male
2024-02-27,Vorras,GRE,NC,Giant Slalom,Male
2024-02-27,Vorras,GRE,FIS,Giant Slalom,Female
2024-02-27,Vorras,GRE,NC,Giant Slalom,Female
2024-02-27,Vorras,GRE,CHI,Giant Slalom,Male
2024-02-27,Vorras,GRE,CHI,Giant Slalom,Male
2024-02-27,Vorras,GRE,CHI,Giant Slalom,Female
2024-02-27,Vorras,GRE,CHI,Giant Slalom,Female
2024-02-28,Vorras,GRE,NC,Slalom,Male
2024-02-28,Vorras,GRE,NC,Slalom,Female
2024-02-28,Vorras,GRE,CHI,Slalom,Male
2024-02-28,Vorras,GRE,CHI,Slalom,Female
2024-02-29,Jinshanling,alax,FIS,Parallel Giant Slalom,Male
2024-02-29,Jinshanling,alax,FIS,Parallel Giant Slalom,Female
2024-03-01,Jinshanling,alax,FIS,Parallel Slalom,Male
2024-03-01,Jinshanling,alax,FIS,Parallel Slalom,Female
2024-03-02,Akan,JPN,FIS,Parallel Giant Slalom,Male
2024-03-02,Akan,JPN,FIS,Parallel Giant Slalom,Female
2024-03-01,Akan,JPN,NC,Parallel Giant Slalom,Male
2024-03-01,Akan,JPN,NC,Parallel Giant Slalom,Female
2024-03-02,Simonhoehe,AUT,FIS,Parallel Giant Slalom,Male
2024-03-02,Simonhoehe,AUT,FIS,Parallel Giant Slalom,Female
2024-03-03,Simonhoehe,AUT,FIS,Parallel Giant Slalom,Male
2024-03-03,Simonhoehe,AUT,FIS,Parallel Giant Slalom,Female
2024-03-02,Shemshak,IRI,FIS,Slalom,Male
2024-03-02,Shemshak,IRI,FIS,Slalom,Female
2024-03-03,Shemshak,IRI,FIS,Slalom,Male
2024-03-03,Shemshak,IRI,FIS,Slalom,Female
2024-03-02,Kopaonik,SRB,FIS,Giant Slalom,Male
2024-03-02,Kopaonik,SRB,FIS,Giant Slalom,Female
2024-03-03,Kopaonik,SRB,FIS,Slalom,Male
2024-03-03,Kopaonik,SRB,FIS,Slalom,Female
2024-03-04,High1resort,KOR,AC,Parallel Giant Slalom,Male
2024-03-04,High1resort,KOR,AC,Parallel Giant Slalom,Female
2024-03-05,High1resort,KOR,AC,Parallel Slalom,Male
2024-03-05,High1resort,KOR,AC,Parallel Slalom,Female
2024-03-06,Toronto,k,NJC,Parallel Giant Slalom,Male
2024-03-06,Toronto,k,NJC,Parallel Slalom,Male
2024-03-06,Toronto,k,NJC,Parallel Giant Slalom,Female
2024-03-06,Toronto,k,NJC,Parallel Slalom,Female
2024-03-09,Winterberg,GER,QUA,Parallel Slalom,Female
2024-03-09,Winterberg,GER,QUA,Parallel Slalom,Male
2024-03-09,Winterberg,GER,WC,Parallel Slalom,Female
2024-03-09,Winterberg,GER,WC,Parallel Slalom,Male
2024-03-10,Winterberg,GER,WC,Parallel Slalom Team,Female
2024-03-09,Lenzerheide,SUI,EC,Parallel Slalom,Male
2024-03-09,Lenzerheide,SUI,EC,Parallel Slalom,Female
2024-03-10,Lenzerheide,SUI,EC,Parallel Slalom,Male
2024-03-10,Lenzerheide,SUI,EC,Parallel Slalom,Female
2024-03-09,Senales,,FIS,Parallel Slalom,Male
2024-03-09,Senales,,FIS,Parallel Slalom,Female
2024-03-10,Senales,,FIS,Parallel Slalom,Male
2024-03-10,Senales,,FIS,Parallel Slalom,Female
2024-03-10,Dizin,IRI,FIS,Slalom,Male
2024-03-10,Dizin,IRI,FIS,Slalom,Female
2024-03-11,Dizin,IRI,FIS,Slalom,Male
2024-03-11,Dizin,IRI,FIS,Slalom,Female
2024-03-12,Cuiyunshan,alax,AC,Parallel Giant Slalom,Male
2024-03-12,Cuiyunshan,alax,AC,Parallel Giant Slalom,Female
2024-03-13,Cuiyunshan,alax,AC,Parallel Slalom,Male
2024-03-13,Cuiyunshan,alax,AC,Parallel Slalom,Female
2024-03-12,Davos/rinerhorn,SUI,EC,Parallel Giant Slalom,Male
2024-03-12,Davos/rinerhorn,SUI,EC,Parallel Giant Slalom,Female
2024-03-13,Davos/rinerhorn,SUI,EC,Parallel Giant Slalom,Male
2024-03-13,Davos/rinerhorn,SUI,EC,Parallel Giant Slalom,Female
2024-03-16,Berchtesgaden,GER,WC,Parallel Slalom,Male
